SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f5800000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 25233542 Time: 3.962979
Throughput: 32766011 Time: 3.051943
Throughput: 32580315 Time: 3.069338
Throughput: 34009938 Time: 2.940317
Throughput: 33129257 Time: 3.018480
Throughput: 33984256 Time: 2.942539
Throughput: 32766602 Time: 3.051888
Throughput: 34302493 Time: 2.915240
Throughput: 33034928 Time: 3.027099
Throughput: 32369991 Time: 3.089281
Throughput: 32134078 Time: 3.111961
Throughput: 32378313 Time: 3.088487
Throughput: 33245763 Time: 3.007902
Throughput: 32519859 Time: 3.075044
Throughput: 32121960 Time: 3.113135
Throughput: 33026604 Time: 3.027862
Throughput: 32507311 Time: 3.076231
Throughput: 32460355 Time: 3.080681
Throughput: 33483854 Time: 2.986514
Throughput: 34235800 Time: 2.920919
Throughput: 33861963 Time: 2.953166
Throughput: 33271869 Time: 3.005542
Throughput: 33688613 Time: 2.968362
Throughput: 33654430 Time: 2.971377
Throughput: 34172075 Time: 2.926366
Throughput: 33485659 Time: 2.986353
Throughput: 33868145 Time: 2.952627
Throughput: 34105714 Time: 2.932060
Throughput: 32913738 Time: 3.038245
Throughput: 34176817 Time: 2.925960
Throughput: 33358619 Time: 2.997726
Throughput: 33975492 Time: 2.943298
Throughput: 33925974 Time: 2.947594
Throughput: 33836584 Time: 2.955381
Throughput: 33312834 Time: 3.001846
Throughput: 34309742 Time: 2.914624
Throughput: 34362548 Time: 2.910145
Throughput: 34541908 Time: 2.895034
Throughput: 33743849 Time: 2.963503
Throughput: 33817315 Time: 2.957065
Throughput: 33876853 Time: 2.951868
Throughput: 34798307 Time: 2.873703
Throughput: 34555205 Time: 2.893920
Throughput: 33608858 Time: 2.975406
Throughput: 34627945 Time: 2.887841
Throughput: 34369162 Time: 2.909585
Throughput: 34126559 Time: 2.930269
Throughput: 34602770 Time: 2.889942
Throughput: 33239564 Time: 3.008463
Throughput: 33835130 Time: 2.955508
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 27894843 Time: 3.584892
Throughput: 15263384 Time: 6.551627
Throughput: 14857269 Time: 6.730712
Throughput: 14702221 Time: 6.801693
Throughput: 14770180 Time: 6.770398
Throughput: 14577756 Time: 6.859766
Throughput: 14580468 Time: 6.858490
Throughput: 14785602 Time: 6.763336
Throughput: 14589322 Time: 6.854328
Throughput: 14411346 Time: 6.938977
Throughput: 14441621 Time: 6.924430
Throughput: 14465114 Time: 6.913184
Throughput: 14429999 Time: 6.930007
Throughput: 14667877 Time: 6.817619
Throughput: 14446819 Time: 6.921939
Throughput: 14680739 Time: 6.811646
Throughput: 14253777 Time: 7.015684
Throughput: 14449014 Time: 6.920887
Throughput: 14281089 Time: 7.002267
Throughput: 13827445 Time: 7.231994
Throughput: 13772346 Time: 7.260927
Throughput: 13760490 Time: 7.267183
Throughput: 13725869 Time: 7.285513
Throughput: 14224625 Time: 7.030062
Throughput: 13606988 Time: 7.349165
Throughput: 13927966 Time: 7.179799
Throughput: 13969016 Time: 7.158700
Throughput: 14156668 Time: 7.063809
Throughput: 14077967 Time: 7.103298
Throughput: 13993817 Time: 7.146013
Throughput: 13623746 Time: 7.340125
Throughput: 13553996 Time: 7.377898
Throughput: 13441293 Time: 7.439760
Throughput: 13572917 Time: 7.367613
Throughput: 13338138 Time: 7.497298
Throughput: 13862194 Time: 7.213865
Throughput: 13437840 Time: 7.441672
Throughput: 13627687 Time: 7.338002
Throughput: 13636840 Time: 7.333077
Throughput: 12849775 Time: 7.782237
Throughput: 13067875 Time: 7.652353
Throughput: 13154256 Time: 7.602102
Throughput: 13087309 Time: 7.640990
Throughput: 13169707 Time: 7.593183
Throughput: 13369166 Time: 7.479898
Throughput: 13687063 Time: 7.306169
Throughput: 12230318 Time: 8.176402
Throughput: 12554562 Time: 7.965232
Throughput: 12542000 Time: 7.973210
Throughput: 12625707 Time: 7.920348
Throughput: 11829957 Time: 8.453116
Throughput: 12271891 Time: 8.148703
Throughput: 12449047 Time: 8.032743
Throughput: 13063307 Time: 7.655029
Throughput: 14408196 Time: 6.940494
Throughput: 15679225 Time: 6.377866
Throughput: 16029951 Time: 6.238322
Throughput: 16051977 Time: 6.229762
Throughput: 15309975 Time: 6.531689
Throughput: 15481254 Time: 6.459425
Throughput: 15736500 Time: 6.354653
Throughput: 14887317 Time: 6.717127
Throughput: 15014464 Time: 6.660244
Throughput: 14608177 Time: 6.845481
Throughput: 15428058 Time: 6.481697
Throughput: 15859532 Time: 6.305356
Throughput: 15914735 Time: 6.283485
Throughput: 18016829 Time: 5.550366
Throughput: 20329264 Time: 4.919017
Throughput: 23791510 Time: 4.203180
Throughput: 23287604 Time: 4.294130
Throughput: 25223416 Time: 3.964570
Throughput: 27706940 Time: 3.609204
Throughput: 28238528 Time: 3.541261
Throughput: 28662074 Time: 3.488931
Throughput: 28632005 Time: 3.492595
Throughput: 28753735 Time: 3.477809
Throughput: 28835030 Time: 3.468004
Throughput: 28531134 Time: 3.504943
Throughput: 28849704 Time: 3.466240
Throughput: 28597615 Time: 3.496795
Throughput: 28260474 Time: 3.538511
Throughput: 27966677 Time: 3.575684
Throughput: 28830042 Time: 3.468604
Throughput: 28657252 Time: 3.489518
Throughput: 28730067 Time: 3.480674
Throughput: 29035136 Time: 3.444103
Throughput: 28472912 Time: 3.512110
Throughput: 29372017 Time: 3.404601
Throughput: 28660423 Time: 3.489132
Throughput: 28548573 Time: 3.502802
Throughput: 26777332 Time: 3.734502
Throughput: 26234304 Time: 3.811803
Throughput: 29213909 Time: 3.423027
Throughput: 26646734 Time: 3.752805
Throughput: 26940888 Time: 3.711830
Throughput: 29223744 Time: 3.421875
Throughput: 26647814 Time: 3.752653
Throughput: 29702535 Time: 3.366716
Throughput: 26582884 Time: 3.761819
Throughput: 28026198 Time: 3.568090
Throughput: 28895787 Time: 3.460712
Throughput: 27240266 Time: 3.671036
Throughput: 30017256 Time: 3.331417
Throughput: 26168474 Time: 3.821392
Throughput: 29858821 Time: 3.349094
Throughput: 27750335 Time: 3.603560
Throughput: 27409012 Time: 3.648435
Throughput: 30854436 Time: 3.241025
Throughput: 27591968 Time: 3.624243
Throughput: 30864102 Time: 3.240010
Throughput: 27879336 Time: 3.586886
Throughput: 31347461 Time: 3.190051
Throughput: 31486552 Time: 3.175959
Throughput: 27783882 Time: 3.599209
Throughput: 27486739 Time: 3.638118
Throughput: 28323629 Time: 3.530621
Throughput: 28827931 Time: 3.468858
Throughput: 30752444 Time: 3.251774
Throughput: 28766887 Time: 3.476219
Throughput: 28717592 Time: 3.482186
Throughput: 28643405 Time: 3.491205
Throughput: 28858538 Time: 3.465179
Throughput: 28955368 Time: 3.453591
Throughput: 32606810 Time: 3.066844
Throughput: 29218134 Time: 3.422532
Throughput: 29507168 Time: 3.389007
Throughput: 29601562 Time: 3.378200
Throughput: 29913412 Time: 3.342982
Throughput: 33133625 Time: 3.018082
Throughput: 30633538 Time: 3.264396
Throughput: 29555272 Time: 3.383491
Throughput: 29727187 Time: 3.363924
Throughput: 28837674 Time: 3.467686
Throughput: 29725331 Time: 3.364134
Throughput: 33583711 Time: 2.977634
Throughput: 29620186 Time: 3.376076
Throughput: 32517808 Time: 3.075238
Throughput: 34075474 Time: 2.934662
Throughput: 32617977 Time: 3.065794
Throughput: 33002548 Time: 3.030069
Throughput: 32764251 Time: 3.052107
Throughput: 34238496 Time: 2.920689
Throughput: 34372151 Time: 2.909332
Throughput: 33465432 Time: 2.988158
Throughput: 35201339 Time: 2.840801
Throughput: 33751696 Time: 2.962814
Throughput: 34927799 Time: 2.863049
Throughput: 33751446 Time: 2.962836
Throughput: 34522971 Time: 2.896622
Throughput: 33381603 Time: 2.995662
Throughput: 34776161 Time: 2.875533
Throughput: 34054517 Time: 2.936468
Throughput: 34738071 Time: 2.878686
Throughput: 33411761 Time: 2.992958
Throughput: 34855192 Time: 2.869013
Throughput: 34864342 Time: 2.868260
Throughput: 33529525 Time: 2.982446
Throughput: 34594714 Time: 2.890615
Throughput: 34661324 Time: 2.885060
Throughput: 33676655 Time: 2.969416
Throughput: 35091745 Time: 2.849673
Throughput: 33810203 Time: 2.957687
Throughput: 33514692 Time: 2.983766
Throughput: 34021474 Time: 2.939320
Throughput: 34357554 Time: 2.910568
Throughput: 33665442 Time: 2.970405
Throughput: 33671790 Time: 2.969845
Throughput: 33619468 Time: 2.974467
Throughput: 34528610 Time: 2.896149
Throughput: 33799484 Time: 2.958625
Throughput: 33556900 Time: 2.980013
Throughput: 34929653 Time: 2.862897
Throughput: 33825551 Time: 2.956345
Throughput: 33682440 Time: 2.968906
Throughput: 34105039 Time: 2.932118
Throughput: 35290061 Time: 2.833659
Throughput: 34024842 Time: 2.939029
Throughput: 33202537 Time: 3.011818
Throughput: 34910179 Time: 2.864494
Throughput: 34028455 Time: 2.938717
Throughput: 34437775 Time: 2.903788
Throughput: 34822833 Time: 2.871679
Throughput: 34966771 Time: 2.859858
Throughput: 34068253 Time: 2.935284
Throughput: 35123779 Time: 2.847074
Throughput: 35004653 Time: 2.856763
Throughput: 33535384 Time: 2.981925
Throughput: 34523031 Time: 2.896617
Throughput: 33851853 Time: 2.954048
Throughput: 35272497 Time: 2.835070
Throughput: 33688613 Time: 2.968362
Throughput: 33480132 Time: 2.986846
Throughput: 33555448 Time: 2.980142
Throughput: 34548185 Time: 2.894508
Throughput: 33226145 Time: 3.009678
Throughput: 34744214 Time: 2.878177
Throughput: 33488743 Time: 2.986078
Throughput: 34914726 Time: 2.864121
Throughput: 33589340 Time: 2.977135
Throughput: 35030281 Time: 2.854673
Throughput: 33768964 Time: 2.961299
Throughput: 35124779 Time: 2.846993
Throughput: 33954750 Time: 2.945096
Throughput: 35324966 Time: 2.830859
Throughput: 33645790 Time: 2.972140
Throughput: 35099135 Time: 2.849073
Throughput: 33040298 Time: 3.026607
Throughput: 34953595 Time: 2.860936
Throughput: 33575896 Time: 2.978327
Throughput: 35178578 Time: 2.842639
Throughput: 33075006 Time: 3.023431
Throughput: 35014348 Time: 2.855972
Throughput: 33118033 Time: 3.019503
Throughput: 34727829 Time: 2.879535
Throughput: 33608960 Time: 2.975397
Throughput: 35008918 Time: 2.856415
Throughput: 33366889 Time: 2.996983
Throughput: 33008017 Time: 3.029567
Throughput: 33382394 Time: 2.995591
Throughput: 34985230 Time: 2.858349
Throughput: 33151508 Time: 3.016454
Throughput: 34816650 Time: 2.872189
Throughput: 33558015 Time: 2.979914
Throughput: 34761461 Time: 2.876749
Throughput: 35253870 Time: 2.836568
Throughput: 33513659 Time: 2.983858
Throughput: 35248042 Time: 2.837037
Throughput: 34848815 Time: 2.869538
Throughput: 33320094 Time: 3.001192
Throughput: 35081023 Time: 2.850544
Throughput: 33614676 Time: 2.974891
Throughput: 33474517 Time: 2.987347
Throughput: 33034645 Time: 3.027125
Throughput: 34940405 Time: 2.862016
Throughput: 33911915 Time: 2.948816
Throughput: 33873663 Time: 2.952146
Throughput: 35013343 Time: 2.856054
Throughput: 33522410 Time: 2.983079
Throughput: 35104828 Time: 2.848611
Throughput: 33708656 Time: 2.966597
Throughput: 34546467 Time: 2.894652
Throughput: 33814125 Time: 2.957344
Throughput: 35431516 Time: 2.822346
Throughput: 34274957 Time: 2.917582
Throughput: 34277284 Time: 2.917384
Throughput: 33553443 Time: 2.980320
Throughput: 33659595 Time: 2.970921
Throughput: 34987213 Time: 2.858187
Throughput: 33500893 Time: 2.984995
Throughput: 33287529 Time: 3.004128
Throughput: 32163141 Time: 3.109149
Throughput: 34696777 Time: 2.882112
Throughput: 32880254 Time: 3.041339
Throughput: 33375308 Time: 2.996227
Throughput: 33499580 Time: 2.985112
Throughput: 35150311 Time: 2.844925
Throughput: 33463607 Time: 2.988321
Throughput: 33094895 Time: 3.021614
Throughput: 34680509 Time: 2.883464
Throughput: 33761416 Time: 2.961961
Throughput: 35151917 Time: 2.844795
Throughput: 33240824 Time: 3.008349
Throughput: 34736008 Time: 2.878857
Throughput: 33716339 Time: 2.965921
Throughput: 35126666 Time: 2.846840
Throughput: 33604849 Time: 2.975761
Throughput: 35030404 Time: 2.854663
Throughput: 32872429 Time: 3.042063
Throughput: 35033448 Time: 2.854415
Throughput: 33894122 Time: 2.950364
Throughput: 34787472 Time: 2.874598
Throughput: 35016948 Time: 2.855760
Throughput: 33694811 Time: 2.967816
Throughput: 34702906 Time: 2.881603
Throughput: 33642621 Time: 2.972420
Throughput: 35084961 Time: 2.850224
Throughput: 33879263 Time: 2.951658
Throughput: 34814407 Time: 2.872374
Throughput: 35123002 Time: 2.847137
Throughput: 34496164 Time: 2.898873
Throughput: 34946803 Time: 2.861492
Throughput: 34578325 Time: 2.891985
Throughput: 34576377 Time: 2.892148
Throughput: 34574930 Time: 2.892269
Throughput: 34702990 Time: 2.881596
Throughput: 34706266 Time: 2.881324
Throughput: 34729083 Time: 2.879431
Throughput: 35006982 Time: 2.856573
Throughput: 34535800 Time: 2.895546
Throughput: 35110399 Time: 2.848159
Throughput: 34280080 Time: 2.917146
Throughput: 34681339 Time: 2.883395
Throughput: 35122768 Time: 2.847156
Throughput: 35279590 Time: 2.834500
Throughput: 35203780 Time: 2.840604
Throughput: 35089578 Time: 2.849849
Throughput: 34709591 Time: 2.881048
Throughput: 34552972 Time: 2.894107
Throughput: 35436451 Time: 2.821953
signalling done to /tmp/alloctest-bench.done
/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st 
<benchmark exec="/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st">
<config>
  <openmp>on</openmp>  <memsize>1G <memsize>  <hugetlb>0</hugetlb>
  <data>-1</data>  <interference>0</interference>
</config>
<run>
****success****
Execution Time (seconds): 1350
Initialization Time (seconds): 167


/home/ashish/mirage-asplos21-artifact/bin/numactl -c 0  /home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st 
