SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f2800000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 31682194 Time: 3.156347
Throughput: 34239434 Time: 2.920609
Throughput: 34815874 Time: 2.872253
Throughput: 34581554 Time: 2.891715
Throughput: 34483341 Time: 2.899951
Throughput: 34965597 Time: 2.859954
Throughput: 35451074 Time: 2.820789
Throughput: 35114751 Time: 2.847806
Throughput: 34363741 Time: 2.910044
Throughput: 34653720 Time: 2.885693
Throughput: 34775097 Time: 2.875621
Throughput: 34439151 Time: 2.903672
Throughput: 34389350 Time: 2.907877
Throughput: 34977338 Time: 2.858994
Throughput: 34494974 Time: 2.898973
Throughput: 34940588 Time: 2.862001
Throughput: 35165169 Time: 2.843723
Throughput: 34871017 Time: 2.867711
Throughput: 33936970 Time: 2.946639
Throughput: 33715930 Time: 2.965957
Throughput: 33161919 Time: 3.015507
Throughput: 32793927 Time: 3.049345
Throughput: 33220328 Time: 3.010205
Throughput: 33236040 Time: 3.008782
Throughput: 33478092 Time: 2.987028
Throughput: 32926959 Time: 3.037025
Throughput: 32510545 Time: 3.075925
Throughput: 33140807 Time: 3.017428
Throughput: 32790035 Time: 3.049707
Throughput: 32470326 Time: 3.079735
Throughput: 32940430 Time: 3.035783
Throughput: 33308318 Time: 3.002253
Throughput: 34000930 Time: 2.941096
Throughput: 33278390 Time: 3.004953
Throughput: 34534500 Time: 2.895655
Throughput: 34210291 Time: 2.923097
Throughput: 34045670 Time: 2.937231
Throughput: 34599262 Time: 2.890235
Throughput: 33658134 Time: 2.971050
Throughput: 34465288 Time: 2.901470
Throughput: 33548254 Time: 2.980781
Throughput: 34546479 Time: 2.894651
Throughput: 33284781 Time: 3.004376
Throughput: 34331015 Time: 2.912818
Throughput: 33441427 Time: 2.990303
Throughput: 34464848 Time: 2.901507
Throughput: 33703805 Time: 2.967024
Throughput: 33834856 Time: 2.955532
Throughput: 34541312 Time: 2.895084
Throughput: 33645032 Time: 2.972207
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 26489532 Time: 3.775076
Throughput: 12158625 Time: 8.224614
Throughput: 12036062 Time: 8.308365
Throughput: 11922245 Time: 8.387682
Throughput: 12046092 Time: 8.301447
Throughput: 11833739 Time: 8.450414
Throughput: 11858135 Time: 8.433029
Throughput: 11875741 Time: 8.420527
Throughput: 12000161 Time: 8.333221
Throughput: 12015774 Time: 8.322393
Throughput: 11679087 Time: 8.562313
Throughput: 11836466 Time: 8.448467
Throughput: 11805792 Time: 8.470418
Throughput: 11712104 Time: 8.538175
Throughput: 11663592 Time: 8.573688
Throughput: 11483963 Time: 8.707795
Throughput: 11161043 Time: 8.959736
Throughput: 11327307 Time: 8.828223
Throughput: 11398291 Time: 8.773245
Throughput: 11176929 Time: 8.947001
Throughput: 11312173 Time: 8.840034
Throughput: 11342977 Time: 8.816027
Throughput: 11318770 Time: 8.834882
Throughput: 11481405 Time: 8.709735
Throughput: 11192198 Time: 8.934795
Throughput: 11236439 Time: 8.899616
Throughput: 10909424 Time: 9.166386
Throughput: 9668010 Time: 10.343390
Throughput: 9332446 Time: 10.715304
Throughput: 10059663 Time: 9.940690
Throughput: 10166665 Time: 9.836067
Throughput: 9961814 Time: 10.038332
Throughput: 11318388 Time: 8.835180
Throughput: 14218735 Time: 7.032974
Throughput: 15182870 Time: 6.586370
Throughput: 15967151 Time: 6.262858
Throughput: 15947526 Time: 6.270565
Throughput: 16199759 Time: 6.172931
Throughput: 15250711 Time: 6.557071
Throughput: 14734582 Time: 6.786755
Throughput: 14388002 Time: 6.950235
Throughput: 15656072 Time: 6.387298
Throughput: 15022858 Time: 6.656523
Throughput: 14506743 Time: 6.893346
Throughput: 15862201 Time: 6.304295
Throughput: 14992256 Time: 6.670110
Throughput: 14576012 Time: 6.860587
Throughput: 15065032 Time: 6.637888
Throughput: 14868519 Time: 6.725619
Throughput: 14851706 Time: 6.733233
Throughput: 15762605 Time: 6.344129
Throughput: 15861633 Time: 6.304521
Throughput: 15923564 Time: 6.280001
Throughput: 16065253 Time: 6.224614
Throughput: 16158675 Time: 6.188626
Throughput: 16325205 Time: 6.125497
Throughput: 16478878 Time: 6.068374
Throughput: 16487872 Time: 6.065064
Throughput: 16590940 Time: 6.027386
Throughput: 16571142 Time: 6.034587
Throughput: 16690038 Time: 5.991598
Throughput: 16920493 Time: 5.909993
Throughput: 16936315 Time: 5.904472
Throughput: 17013975 Time: 5.877521
Throughput: 16961646 Time: 5.895654
Throughput: 17342958 Time: 5.766029
Throughput: 17378483 Time: 5.754242
Throughput: 17813226 Time: 5.613806
Throughput: 17158082 Time: 5.828157
Throughput: 18380727 Time: 5.440481
Throughput: 17188592 Time: 5.817812
Throughput: 18641629 Time: 5.364338
Throughput: 18022271 Time: 5.548690
Throughput: 18079050 Time: 5.531264
Throughput: 17310370 Time: 5.776884
Throughput: 19988470 Time: 5.002884
Throughput: 18933133 Time: 5.281746
Throughput: 22298846 Time: 4.484537
