SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7ff400000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 26458169 Time: 3.779551
Throughput: 34573364 Time: 2.892400
Throughput: 33454986 Time: 2.989091
Throughput: 34827939 Time: 2.871258
Throughput: 33224754 Time: 3.009804
Throughput: 34765570 Time: 2.876409
Throughput: 34565441 Time: 2.893063
Throughput: 34036875 Time: 2.937990
Throughput: 34303693 Time: 2.915138
Throughput: 34120900 Time: 2.930755
Throughput: 34429238 Time: 2.904508
Throughput: 33696503 Time: 2.967667
Throughput: 34675157 Time: 2.883909
Throughput: 33922108 Time: 2.947930
Throughput: 33408379 Time: 2.993261
Throughput: 34128330 Time: 2.930117
Throughput: 34157415 Time: 2.927622
Throughput: 33598650 Time: 2.976310
Throughput: 34273360 Time: 2.917718
Throughput: 33968960 Time: 2.943864
Throughput: 32961516 Time: 3.033841
Throughput: 33901580 Time: 2.949715
Throughput: 32973384 Time: 3.032749
Throughput: 33971556 Time: 2.943639
Throughput: 34117780 Time: 2.931023
Throughput: 34523114 Time: 2.896610
Throughput: 35156453 Time: 2.844428
Throughput: 35348816 Time: 2.828949
Throughput: 34271222 Time: 2.917900
Throughput: 34843181 Time: 2.870002
Throughput: 34897241 Time: 2.865556
Throughput: 33871563 Time: 2.952329
Throughput: 35385428 Time: 2.826022
Throughput: 35359741 Time: 2.828075
Throughput: 35115010 Time: 2.847785
Throughput: 35329347 Time: 2.830508
Throughput: 35236491 Time: 2.837967
Throughput: 35485241 Time: 2.818073
Throughput: 34726177 Time: 2.879672
Throughput: 35096031 Time: 2.849325
Throughput: 34987789 Time: 2.858140
Throughput: 34711917 Time: 2.880855
Throughput: 34999875 Time: 2.857153
Throughput: 34341897 Time: 2.911895
Throughput: 35021203 Time: 2.855413
Throughput: 34013420 Time: 2.940016
Throughput: 34157345 Time: 2.927628
Throughput: 33838634 Time: 2.955202
Throughput: 34291976 Time: 2.916134
Throughput: 34652532 Time: 2.885792
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 28639139 Time: 3.491725
Throughput: 11297642 Time: 8.851404
Throughput: 11683513 Time: 8.559069
Throughput: 11382642 Time: 8.785306
Throughput: 11957734 Time: 8.362788
Throughput: 12132335 Time: 8.242436
Throughput: 12129844 Time: 8.244129
Throughput: 11911737 Time: 8.395081
Throughput: 13070210 Time: 7.650986
Throughput: 12983348 Time: 7.702173
Throughput: 12878450 Time: 7.764909
Throughput: 12759572 Time: 7.837253
Throughput: 12985824 Time: 7.700705
Throughput: 13006614 Time: 7.688396
Throughput: 12907269 Time: 7.747572
Throughput: 12855387 Time: 7.778840
Throughput: 12562607 Time: 7.960131
Throughput: 12432663 Time: 8.043329
Throughput: 12206839 Time: 8.192129
Throughput: 12046671 Time: 8.301048
Throughput: 12202459 Time: 8.195069
Throughput: 12203396 Time: 8.194440
Throughput: 12317981 Time: 8.118213
Throughput: 12314048 Time: 8.120806
Throughput: 12448860 Time: 8.032864
Throughput: 12166952 Time: 8.218985
Throughput: 12331506 Time: 8.109309
Throughput: 12297796 Time: 8.131538
Throughput: 12276031 Time: 8.145955
Throughput: 12405528 Time: 8.060922
Throughput: 12134169 Time: 8.241190
Throughput: 12176072 Time: 8.212829
Throughput: 12252379 Time: 8.161680
Throughput: 12187923 Time: 8.204843
Throughput: 12019844 Time: 8.319575
Throughput: 12194634 Time: 8.200328
Throughput: 12005985 Time: 8.329179
Throughput: 11901173 Time: 8.402533
Throughput: 12184135 Time: 8.207394
Throughput: 12213988 Time: 8.187334
Throughput: 12074531 Time: 8.281895
Throughput: 12310130 Time: 8.123391
Throughput: 12054770 Time: 8.295471
Throughput: 12233906 Time: 8.174004
Throughput: 12124201 Time: 8.247966
Throughput: 12093799 Time: 8.268700
Throughput: 12098784 Time: 8.265293
Throughput: 11928997 Time: 8.382934
Throughput: 11897804 Time: 8.404912
Throughput: 11727349 Time: 8.527076
Throughput: 11991603 Time: 8.339168
Throughput: 11651478 Time: 8.582602
Throughput: 12030144 Time: 8.312452
Throughput: 11938613 Time: 8.376182
Throughput: 12130157 Time: 8.243916
Throughput: 12132998 Time: 8.241986
Throughput: 11971247 Time: 8.353348
Throughput: 12112521 Time: 8.255919
Throughput: 11729690 Time: 8.525374
Throughput: 11664759 Time: 8.572830
Throughput: 11659266 Time: 8.576869
Throughput: 11700686 Time: 8.546507
Throughput: 11715116 Time: 8.535980
Throughput: 12234838 Time: 8.173381
Throughput: 12165361 Time: 8.220060
Throughput: 12033911 Time: 8.309850
Throughput: 11951276 Time: 8.367307
Throughput: 12604828 Time: 7.933468
Throughput: 12105929 Time: 8.260415
Throughput: 12167226 Time: 8.218800
Throughput: 12607292 Time: 7.931917
Throughput: 12276069 Time: 8.145930
Throughput: 12939734 Time: 7.728134
Throughput: 12384845 Time: 8.074384
Throughput: 12391463 Time: 8.070072
Throughput: 13006231 Time: 7.688622
Throughput: 12817073 Time: 7.802093
Throughput: 13543545 Time: 7.383591
Throughput: 13442162 Time: 7.439279
Throughput: 12852457 Time: 7.780613
Throughput: 12720097 Time: 7.861575
Throughput: 12842519 Time: 7.786634
Throughput: 12989340 Time: 7.698620
Throughput: 13907215 Time: 7.190512
Throughput: 14093282 Time: 7.095579
Throughput: 13571881 Time: 7.368175
Throughput: 14157457 Time: 7.063415
Throughput: 13558759 Time: 7.375306
Throughput: 14571095 Time: 6.862902
Throughput: 14620475 Time: 6.839723
Throughput: 14197096 Time: 7.043694
Throughput: 15404235 Time: 6.491721
Throughput: 15126446 Time: 6.610938
Throughput: 14700492 Time: 6.802493
Throughput: 15690281 Time: 6.373372
Throughput: 15590126 Time: 6.414316
Throughput: 15155802 Time: 6.598133
Throughput: 15776809 Time: 6.338417
Throughput: 16442008 Time: 6.081982
Throughput: 16545328 Time: 6.044002
Throughput: 15125563 Time: 6.611324
Throughput: 17247778 Time: 5.797848
Throughput: 15930981 Time: 6.277077
Throughput: 18120347 Time: 5.518658
Throughput: 17086939 Time: 5.852423
Throughput: 17447710 Time: 5.731411
Throughput: 17415322 Time: 5.742070
Throughput: 16760489 Time: 5.966413
Throughput: 16965534 Time: 5.894303
Throughput: 17907068 Time: 5.584387
Throughput: 18358510 Time: 5.447065
Throughput: 18657322 Time: 5.359826
Throughput: 18472951 Time: 5.413320
Throughput: 18709042 Time: 5.345009
Throughput: 19099318 Time: 5.235789
Throughput: 19442581 Time: 5.143350
Throughput: 20579646 Time: 4.859170
Throughput: 21715163 Time: 4.605077
Throughput: 22332450 Time: 4.477789
Throughput: 24658151 Time: 4.055454
Throughput: 25209414 Time: 3.966772
Throughput: 25026979 Time: 3.995688
Throughput: 25254227 Time: 3.959733
Throughput: 25211283 Time: 3.966478
Throughput: 24906234 Time: 4.015059
Throughput: 26292935 Time: 3.803303
Throughput: 29276507 Time: 3.415708
Throughput: 30491774 Time: 3.279573
Throughput: 30571223 Time: 3.271050
Throughput: 30810279 Time: 3.245670
Throughput: 30476654 Time: 3.281200
Throughput: 31037692 Time: 3.221889
Throughput: 30773946 Time: 3.249502
Throughput: 29588381 Time: 3.379705
Throughput: 30740958 Time: 3.252989
Throughput: 30581011 Time: 3.270003
Throughput: 30653426 Time: 3.262278
Throughput: 30353582 Time: 3.294504
Throughput: 30861292 Time: 3.240305
Throughput: 31043878 Time: 3.221247
Throughput: 30341094 Time: 3.295860
Throughput: 30367086 Time: 3.293039
Throughput: 30419018 Time: 3.287417
Throughput: 30567223 Time: 3.271478
Throughput: 30896257 Time: 3.236638
Throughput: 30437795 Time: 3.285389
Throughput: 30294593 Time: 3.300919
Throughput: 30513518 Time: 3.277236
Throughput: 30839088 Time: 3.242638
Throughput: 30502674 Time: 3.278401
Throughput: 30652618 Time: 3.262364
Throughput: 30800770 Time: 3.246672
Throughput: 30901431 Time: 3.236096
Throughput: 30900811 Time: 3.236161
Throughput: 31039898 Time: 3.221660
Throughput: 27661752 Time: 3.615100
Throughput: 30655804 Time: 3.262025
Throughput: 31357251 Time: 3.189055
Throughput: 31171195 Time: 3.208090
Throughput: 31544328 Time: 3.170142
Throughput: 28598147 Time: 3.496730
Throughput: 31520713 Time: 3.172517
Throughput: 31687284 Time: 3.155840
Throughput: 28782014 Time: 3.474392
Throughput: 28870677 Time: 3.463722
Throughput: 31977436 Time: 3.127205
Throughput: 31702553 Time: 3.154320
Throughput: 32078147 Time: 3.117387
Throughput: 28591802 Time: 3.497506
Throughput: 32836441 Time: 3.045397
Throughput: 29160793 Time: 3.429262
Throughput: 33136798 Time: 3.017793
Throughput: 29393411 Time: 3.402123
Throughput: 33005816 Time: 3.029769
Throughput: 33084701 Time: 3.022545
Throughput: 29819840 Time: 3.353472
Throughput: 33363605 Time: 2.997278
Throughput: 30091831 Time: 3.323161
Throughput: 33595727 Time: 2.976569
Throughput: 30583293 Time: 3.269759
Throughput: 34462342 Time: 2.901718
Throughput: 33707895 Time: 2.966664
Throughput: 29940334 Time: 3.339976
Throughput: 34654705 Time: 2.885611
Throughput: 32905171 Time: 3.039036
Throughput: 35084580 Time: 2.850255
Throughput: 33959858 Time: 2.944653
Throughput: 34459563 Time: 2.901952
Throughput: 33684868 Time: 2.968692
Throughput: 35126568 Time: 2.846848
Throughput: 34988829 Time: 2.858055
Throughput: 35050172 Time: 2.853053
Throughput: 33531347 Time: 2.982284
Throughput: 34766803 Time: 2.876307
Throughput: 33668129 Time: 2.970168
Throughput: 34349989 Time: 2.911209
Throughput: 35025545 Time: 2.855059
Throughput: 34641620 Time: 2.886701
Throughput: 34549940 Time: 2.894361
Throughput: 32823227 Time: 3.046623
Throughput: 35386493 Time: 2.825937
Throughput: 35031300 Time: 2.854590
Throughput: 34608363 Time: 2.889475
Throughput: 33838027 Time: 2.955255
Throughput: 33978540 Time: 2.943034
Throughput: 34957163 Time: 2.860644
Throughput: 34233526 Time: 2.921113
Throughput: 35406389 Time: 2.824349
Throughput: 35377091 Time: 2.826688
Throughput: 33645654 Time: 2.972152
Throughput: 34560388 Time: 2.893486
Throughput: 33807083 Time: 2.957960
Throughput: 34944019 Time: 2.861720
Throughput: 35132911 Time: 2.846334
Throughput: 35198427 Time: 2.841036
Throughput: 33471402 Time: 2.987625
Throughput: 34680364 Time: 2.883476
Throughput: 34798379 Time: 2.873697
Throughput: 34674989 Time: 2.883923
Throughput: 34173278 Time: 2.926263
Throughput: 34651595 Time: 2.885870
Throughput: 33818504 Time: 2.956961
Throughput: 35114406 Time: 2.847834
Throughput: 34905865 Time: 2.864848
Throughput: 35118512 Time: 2.847501
Throughput: 34835680 Time: 2.870620
Throughput: 34358286 Time: 2.910506
Throughput: 35220171 Time: 2.839282
Throughput: 35127518 Time: 2.846771
Throughput: 34715423 Time: 2.880564
Throughput: 34619146 Time: 2.888575
Throughput: 33123013 Time: 3.019049
Throughput: 33966156 Time: 2.944107
Throughput: 34713001 Time: 2.880765
Throughput: 34747993 Time: 2.877864
Throughput: 34953705 Time: 2.860927
Throughput: 34781882 Time: 2.875060
Throughput: 33219732 Time: 3.010259
Throughput: 35061699 Time: 2.852115
Throughput: 34221249 Time: 2.922161
Throughput: 35020823 Time: 2.855444
Throughput: 34868196 Time: 2.867943
Throughput: 33871644 Time: 2.952322
Throughput: 35018505 Time: 2.855633
Throughput: 34045149 Time: 2.937276
Throughput: 34500460 Time: 2.898512
Throughput: 34404115 Time: 2.906629
Throughput: 34522864 Time: 2.896631
Throughput: 34259821 Time: 2.918871
Throughput: 35279491 Time: 2.834508
Throughput: 34351783 Time: 2.911057
Throughput: 34937915 Time: 2.862220
Throughput: 34807246 Time: 2.872965
Throughput: 34708242 Time: 2.881160
Throughput: 35328461 Time: 2.830579
Throughput: 34435095 Time: 2.904014
Throughput: 34826459 Time: 2.871380
Throughput: 35086500 Time: 2.850099
Throughput: 35178219 Time: 2.842668
Throughput: 34301704 Time: 2.915307
Throughput: 34125325 Time: 2.930375
Throughput: 34770284 Time: 2.876019
Throughput: 34083081 Time: 2.934007
Throughput: 35016899 Time: 2.855764
Throughput: 34022631 Time: 2.939220
Throughput: 35236739 Time: 2.837947
Throughput: 35259637 Time: 2.836104
Throughput: 34690879 Time: 2.882602
Throughput: 33813587 Time: 2.957391
Throughput: 34219199 Time: 2.922336
Throughput: 34540548 Time: 2.895148
Throughput: 35160594 Time: 2.844093
Throughput: 35461256 Time: 2.819979
Throughput: 35367995 Time: 2.827415
Throughput: 35316857 Time: 2.831509
Throughput: 34370332 Time: 2.909486
Throughput: 35265569 Time: 2.835627
Throughput: 35207350 Time: 2.840316
Throughput: 35342507 Time: 2.829454
Throughput: 34406849 Time: 2.906398
Throughput: 35095218 Time: 2.849391
Throughput: 35266141 Time: 2.835581
Throughput: 34928347 Time: 2.863004
Throughput: 33524220 Time: 2.982918
Throughput: 34939233 Time: 2.862112
Throughput: 34157835 Time: 2.927586
Throughput: 35256989 Time: 2.836317
Throughput: 34450588 Time: 2.902708
Throughput: 35003159 Time: 2.856885
Throughput: 33357250 Time: 2.997849
Throughput: 35120042 Time: 2.847377
Throughput: 34319127 Time: 2.913827
Throughput: 34648089 Time: 2.886162
Throughput: 35271452 Time: 2.835154
Throughput: 35061994 Time: 2.852091
Throughput: 35220618 Time: 2.839246
Throughput: 34154276 Time: 2.927891
Throughput: 34163273 Time: 2.927120
Throughput: 34421512 Time: 2.905160
Throughput: 35266240 Time: 2.835573
signalling done to /tmp/alloctest-bench.done
/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_mt 
<benchmark exec="/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_mt">
<config>
  <openmp>on</openmp>  <memsize>1G <memsize>  <hugetlb>0</hugetlb>
  <data>-1</data>  <interference>0</interference>
</config>
<run>
****success****
Runtime: 1589
Init time: 166


/home/ashish/mirage-asplos21-artifact/bin/numactl -c 0  /home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_mt 
