SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f0000000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 33521388 Time: 2.983170
Throughput: 35142405 Time: 2.845565
Throughput: 35562155 Time: 2.811978
Throughput: 35521025 Time: 2.815234
Throughput: 35689710 Time: 2.801928
Throughput: 35800847 Time: 2.793230
Throughput: 35544244 Time: 2.813395
Throughput: 35724607 Time: 2.799191
Throughput: 35290210 Time: 2.833647
Throughput: 35065880 Time: 2.851775
Throughput: 35137392 Time: 2.845971
Throughput: 34979418 Time: 2.858824
Throughput: 35780710 Time: 2.794802
Throughput: 34973949 Time: 2.859271
Throughput: 35120177 Time: 2.847366
Throughput: 35709872 Time: 2.800346
Throughput: 35570302 Time: 2.811334
Throughput: 35465696 Time: 2.819626
Throughput: 35529128 Time: 2.814592
Throughput: 35728985 Time: 2.798848
Throughput: 34672741 Time: 2.884110
Throughput: 35728755 Time: 2.798866
Throughput: 35311532 Time: 2.831936
Throughput: 35475334 Time: 2.818860
Throughput: 35749371 Time: 2.797252
Throughput: 35782963 Time: 2.794626
Throughput: 35678454 Time: 2.802812
Throughput: 35825138 Time: 2.791336
Throughput: 35686386 Time: 2.802189
Throughput: 36091024 Time: 2.770772
Throughput: 35659026 Time: 2.804339
Throughput: 35844567 Time: 2.789823
Throughput: 35999388 Time: 2.777825
Throughput: 35950971 Time: 2.781566
Throughput: 35346830 Time: 2.829108
Throughput: 35890611 Time: 2.786244
Throughput: 36349717 Time: 2.751053
Throughput: 35848101 Time: 2.789548
Throughput: 35499034 Time: 2.816978
Throughput: 34853491 Time: 2.869153
Throughput: 36006335 Time: 2.777289
Throughput: 35775717 Time: 2.795192
Throughput: 35877335 Time: 2.787275
Throughput: 36013545 Time: 2.776733
Throughput: 35746010 Time: 2.797515
Throughput: 34808869 Time: 2.872831
Throughput: 35143702 Time: 2.845460
Throughput: 35824266 Time: 2.791404
Throughput: 35916908 Time: 2.784204
Throughput: 36116129 Time: 2.768846
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 14589741 Time: 6.854131
Throughput: 12117287 Time: 8.252672
Throughput: 12100970 Time: 8.263800
Throughput: 11954151 Time: 8.365295
Throughput: 12071844 Time: 8.283738
Throughput: 12055511 Time: 8.294961
Throughput: 12070403 Time: 8.284727
Throughput: 12086815 Time: 8.273478
Throughput: 12069333 Time: 8.285462
Throughput: 11919421 Time: 8.389669
Throughput: 11847986 Time: 8.440253
Throughput: 11882007 Time: 8.416086
Throughput: 11879546 Time: 8.417830
Throughput: 11932178 Time: 8.380699
Throughput: 11909161 Time: 8.396897
Throughput: 11946888 Time: 8.370380
Throughput: 11957741 Time: 8.362783
Throughput: 11982588 Time: 8.345442
Throughput: 11879972 Time: 8.417528
Throughput: 11927776 Time: 8.383792
Throughput: 8803762 Time: 11.358780
Throughput: 9052559 Time: 11.046600
Throughput: 9045003 Time: 11.055828
Throughput: 9223510 Time: 10.841859
Throughput: 6923049 Time: 14.444501
Throughput: 8345771 Time: 11.982116
Throughput: 13488963 Time: 7.413468
Throughput: 12104310 Time: 8.261520
Throughput: 12735856 Time: 7.851847
Throughput: 12885742 Time: 7.760515
Throughput: 12960044 Time: 7.716023
Throughput: 11694758 Time: 8.550839
Throughput: 11895634 Time: 8.406445
Throughput: 11916857 Time: 8.391474
Throughput: 12085242 Time: 8.274555
Throughput: 16745902 Time: 5.971610
Throughput: 17162293 Time: 5.826727
Throughput: 17239869 Time: 5.800508
Throughput: 17121030 Time: 5.840770
Throughput: 16973787 Time: 5.891437
Throughput: 17145512 Time: 5.832430
Throughput: 17204564 Time: 5.812411
Throughput: 17101913 Time: 5.847299
Throughput: 17225244 Time: 5.805433
Throughput: 17165207 Time: 5.825738
Throughput: 16809674 Time: 5.948955
Throughput: 16900667 Time: 5.916926
Throughput: 16396797 Time: 6.098752
