SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f4e00000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 34447633 Time: 2.902957
Throughput: 35308240 Time: 2.832200
Throughput: 36106231 Time: 2.769605
Throughput: 36221017 Time: 2.760828
Throughput: 35944277 Time: 2.782084
Throughput: 35750316 Time: 2.797178
Throughput: 36140707 Time: 2.766963
Throughput: 35667904 Time: 2.803641
Throughput: 35765775 Time: 2.795969
Throughput: 36022912 Time: 2.776011
Throughput: 36189741 Time: 2.763214
Throughput: 36264903 Time: 2.757487
Throughput: 36245423 Time: 2.758969
Throughput: 36052860 Time: 2.773705
Throughput: 35815772 Time: 2.792066
Throughput: 35634096 Time: 2.806301
Throughput: 35840675 Time: 2.790126
Throughput: 35722297 Time: 2.799372
Throughput: 35440683 Time: 2.821616
Throughput: 36054316 Time: 2.773593
Throughput: 36002148 Time: 2.777612
Throughput: 36196264 Time: 2.762716
Throughput: 36279454 Time: 2.756381
Throughput: 36184712 Time: 2.763598
Throughput: 36326477 Time: 2.752813
Throughput: 36143515 Time: 2.766748
Throughput: 36084851 Time: 2.771246
Throughput: 36239381 Time: 2.759429
Throughput: 35598628 Time: 2.809097
Throughput: 36292950 Time: 2.755356
Throughput: 36318192 Time: 2.753441
Throughput: 36163095 Time: 2.765250
Throughput: 36166705 Time: 2.764974
Throughput: 36307076 Time: 2.754284
Throughput: 36293240 Time: 2.755334
Throughput: 36198715 Time: 2.762529
Throughput: 36252427 Time: 2.758436
Throughput: 36198911 Time: 2.762514
Throughput: 36303702 Time: 2.754540
Throughput: 35652352 Time: 2.804864
Throughput: 35840842 Time: 2.790113
Throughput: 35472754 Time: 2.819065
Throughput: 36098528 Time: 2.770196
Throughput: 36329143 Time: 2.752611
Throughput: 36052210 Time: 2.773755
Throughput: 36336483 Time: 2.752055
Throughput: 36388632 Time: 2.748111
Throughput: 36205202 Time: 2.762034
Throughput: 36255160 Time: 2.758228
Throughput: 36134569 Time: 2.767433
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 15601040 Time: 6.409829
Throughput: 12039144 Time: 8.306238
Throughput: 11881789 Time: 8.416241
Throughput: 11848109 Time: 8.440165
Throughput: 12063635 Time: 8.289375
Throughput: 11975718 Time: 8.350230
Throughput: 11939934 Time: 8.375255
Throughput: 11838857 Time: 8.446761
Throughput: 11905283 Time: 8.399632
Throughput: 11970532 Time: 8.353847
Throughput: 12073311 Time: 8.282732
Throughput: 12039159 Time: 8.306228
Throughput: 11993657 Time: 8.337740
Throughput: 11962578 Time: 8.359402
Throughput: 11732840 Time: 8.523085
Throughput: 11879601 Time: 8.417791
Throughput: 11777325 Time: 8.490892
Throughput: 11754168 Time: 8.507620
Throughput: 11828610 Time: 8.454078
Throughput: 11689487 Time: 8.554695
Throughput: 11875336 Time: 8.420814
Throughput: 11721034 Time: 8.531670
Throughput: 8999236 Time: 11.112054
Throughput: 9060967 Time: 11.036349
Throughput: 9921040 Time: 10.079588
Throughput: 8695910 Time: 11.499658
Throughput: 5653447 Time: 17.688321
Throughput: 16374051 Time: 6.107224
Throughput: 14893097 Time: 6.714520
Throughput: 13472747 Time: 7.422391
Throughput: 17293459 Time: 5.782533
Throughput: 13099663 Time: 7.633784
Throughput: 14740963 Time: 6.783817
Throughput: 16739026 Time: 5.974063
Throughput: 17581722 Time: 5.687725
Throughput: 15151813 Time: 6.599870
Throughput: 18992501 Time: 5.265236
Throughput: 22881855 Time: 4.370275
Throughput: 23077132 Time: 4.333294
Throughput: 23029317 Time: 4.342291
Throughput: 23204693 Time: 4.309473
Throughput: 23037928 Time: 4.340668
Throughput: 22935890 Time: 4.359979
Throughput: 23106150 Time: 4.327852
Throughput: 23003899 Time: 4.347089
Throughput: 22758664 Time: 4.393931
Throughput: 22277976 Time: 4.488738
Throughput: 22878091 Time: 4.370994
Throughput: 22956414 Time: 4.356081
Throughput: 22717008 Time: 4.401988
Throughput: 23038507 Time: 4.340559
Throughput: 22851308 Time: 4.376117
Throughput: 22326103 Time: 4.479062
Throughput: 22381008 Time: 4.468074
Throughput: 21905996 Time: 4.564960
Throughput: 22082459 Time: 4.528481
Throughput: 22446024 Time: 4.455132
Throughput: 22702027 Time: 4.404893
Throughput: 22656543 Time: 4.413736
Throughput: 23117431 Time: 4.325740
Throughput: 23184572 Time: 4.313213
Throughput: 23180036 Time: 4.314057
Throughput: 23164647 Time: 4.316923
Throughput: 23112462 Time: 4.326670
Throughput: 22949528 Time: 4.357388
Throughput: 23169021 Time: 4.316108
Throughput: 23182309 Time: 4.313634
Throughput: 23078117 Time: 4.333109
Throughput: 23120644 Time: 4.325139
Throughput: 22794417 Time: 4.387039
Throughput: 23208436 Time: 4.308778
Throughput: 22981759 Time: 4.351277
Throughput: 23146921 Time: 4.320229
Throughput: 23140820 Time: 4.321368
Throughput: 23159947 Time: 4.317799
Throughput: 23088438 Time: 4.331172
Throughput: 23071020 Time: 4.334442
Throughput: 23137864 Time: 4.321920
Throughput: 23180842 Time: 4.313907
Throughput: 23284903 Time: 4.294628
Throughput: 23032532 Time: 4.341685
Throughput: 22910814 Time: 4.364751
Throughput: 23165763 Time: 4.316715
Throughput: 23153491 Time: 4.319003
Throughput: 22863471 Time: 4.373789
Throughput: 22898553 Time: 4.367088
Throughput: 23167465 Time: 4.316398
Throughput: 23094997 Time: 4.329942
Throughput: 23252261 Time: 4.300657
Throughput: 23123215 Time: 4.324658
Throughput: 22675145 Time: 4.410115
Throughput: 23236878 Time: 4.303504
Throughput: 23224957 Time: 4.305713
Throughput: 23327505 Time: 4.286785
Throughput: 22809943 Time: 4.384053
Throughput: 23070445 Time: 4.334550
Throughput: 23110710 Time: 4.326998
Throughput: 23022287 Time: 4.343617
Throughput: 23089297 Time: 4.331011
Throughput: 22290773 Time: 4.486161
Throughput: 23269770 Time: 4.297421
Throughput: 23157159 Time: 4.318319
Throughput: 22545077 Time: 4.435558
Throughput: 23050360 Time: 4.338327
Throughput: 22886683 Time: 4.369353
Throughput: 23163182 Time: 4.317196
Throughput: 23090789 Time: 4.330731
Throughput: 23113814 Time: 4.326417
Throughput: 22587027 Time: 4.427320
Throughput: 22658606 Time: 4.413334
Throughput: 23113296 Time: 4.326514
Throughput: 22957773 Time: 4.355823
Throughput: 22709347 Time: 4.403473
Throughput: 22443600 Time: 4.455613
Throughput: 22698821 Time: 4.405515
Throughput: 22844021 Time: 4.377513
Throughput: 22861939 Time: 4.374082
Throughput: 22900724 Time: 4.366674
Throughput: 22749230 Time: 4.395753
Throughput: 23221661 Time: 4.306324
Throughput: 23238125 Time: 4.303273
Throughput: 23332028 Time: 4.285954
Throughput: 23157947 Time: 4.318172
Throughput: 23307029 Time: 4.290551
Throughput: 23286167 Time: 4.294395
Throughput: 23130998 Time: 4.323203
Throughput: 23020130 Time: 4.344024
Throughput: 22943252 Time: 4.358580
Throughput: 23254770 Time: 4.300193
Throughput: 23140938 Time: 4.321346
Throughput: 23263323 Time: 4.298612
Throughput: 22709126 Time: 4.403516
Throughput: 23273512 Time: 4.296730
Throughput: 23210628 Time: 4.308371
Throughput: 23222859 Time: 4.306102
Throughput: 23306644 Time: 4.290622
Throughput: 23242279 Time: 4.302504
Throughput: 22823911 Time: 4.381370
Throughput: 23223473 Time: 4.305988
Throughput: 23242857 Time: 4.302397
Throughput: 23255700 Time: 4.300021
Throughput: 23201479 Time: 4.310070
Throughput: 23214675 Time: 4.307620
Throughput: 23370306 Time: 4.278934
Throughput: 23239022 Time: 4.303107
Throughput: 23201070 Time: 4.310146
Throughput: 23218637 Time: 4.306885
Throughput: 23147456 Time: 4.320129
Throughput: 23198040 Time: 4.310709
