SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7fc800000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 34463886 Time: 2.901588
Throughput: 35714221 Time: 2.800005
Throughput: 36172160 Time: 2.764557
Throughput: 36488972 Time: 2.740554
Throughput: 35329546 Time: 2.830492
Throughput: 36153080 Time: 2.766016
Throughput: 36333948 Time: 2.752247
Throughput: 36153512 Time: 2.765983
Throughput: 35558223 Time: 2.812289
Throughput: 36143829 Time: 2.766724
Throughput: 36071782 Time: 2.772250
Throughput: 36258486 Time: 2.757975
Throughput: 36461698 Time: 2.742604
Throughput: 36047220 Time: 2.774139
Throughput: 36020900 Time: 2.776166
Throughput: 36233774 Time: 2.759856
Throughput: 36176164 Time: 2.764251
Throughput: 34868366 Time: 2.867929
Throughput: 36012326 Time: 2.776827
Throughput: 36030621 Time: 2.775417
Throughput: 36067255 Time: 2.772598
Throughput: 35857729 Time: 2.788799
Throughput: 35569973 Time: 2.811360
Throughput: 35832032 Time: 2.790799
Throughput: 35509018 Time: 2.816186
Throughput: 36148911 Time: 2.766335
Throughput: 36452939 Time: 2.743263
Throughput: 36388367 Time: 2.748131
Throughput: 36262970 Time: 2.757634
Throughput: 36425971 Time: 2.745294
Throughput: 36296441 Time: 2.755091
Throughput: 36428757 Time: 2.745084
Throughput: 36518394 Time: 2.738346
Throughput: 36546194 Time: 2.736263
Throughput: 36444158 Time: 2.743924
Throughput: 36399294 Time: 2.747306
Throughput: 36336377 Time: 2.752063
Throughput: 36388089 Time: 2.748152
Throughput: 36552433 Time: 2.735796
Throughput: 36130939 Time: 2.767711
Throughput: 36330278 Time: 2.752525
Throughput: 36314486 Time: 2.753722
Throughput: 36497082 Time: 2.739945
Throughput: 36450188 Time: 2.743470
Throughput: 36354607 Time: 2.750683
Throughput: 36625287 Time: 2.730354
Throughput: 36808564 Time: 2.716759
Throughput: 36520381 Time: 2.738197
Throughput: 36806925 Time: 2.716880
Throughput: 36837812 Time: 2.714602
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 15096976 Time: 6.623843
Throughput: 12029897 Time: 8.312623
Throughput: 12120446 Time: 8.250521
Throughput: 12014526 Time: 8.323258
Throughput: 12118951 Time: 8.251539
Throughput: 12119762 Time: 8.250987
Throughput: 12117899 Time: 8.252255
Throughput: 12122383 Time: 8.249203
Throughput: 12154092 Time: 8.227681
Throughput: 12120722 Time: 8.250333
Throughput: 12183905 Time: 8.207549
Throughput: 12121717 Time: 8.249656
Throughput: 11734959 Time: 8.521546
Throughput: 11890896 Time: 8.409795
Throughput: 11960746 Time: 8.360682
Throughput: 11978852 Time: 8.348045
Throughput: 11762138 Time: 8.501855
Throughput: 11936591 Time: 8.377601
Throughput: 11847795 Time: 8.440389
Throughput: 11972907 Time: 8.352190
Throughput: 8762804 Time: 11.411872
Throughput: 8757976 Time: 11.418163
Throughput: 9691744 Time: 10.318060
Throughput: 9772026 Time: 10.233292
Throughput: 8348670 Time: 11.977955
Throughput: 7786550 Time: 12.842658
Throughput: 6978551 Time: 14.329622
Throughput: 18959621 Time: 5.274367
Throughput: 19156167 Time: 5.220251
Throughput: 15674354 Time: 6.379848
Throughput: 19600779 Time: 5.101838
Throughput: 19505002 Time: 5.126890
Throughput: 19384240 Time: 5.158830
Throughput: 15751901 Time: 6.348440
Throughput: 15937761 Time: 6.274407
Throughput: 19390870 Time: 5.157066
Throughput: 18449721 Time: 5.420136
Throughput: 18345133 Time: 5.451037
Throughput: 16291447 Time: 6.138190
Throughput: 20682352 Time: 4.835040
Throughput: 16462989 Time: 6.074231
Throughput: 18246550 Time: 5.480488
Throughput: 21721502 Time: 4.603733
Throughput: 21757330 Time: 4.596152
Throughput: 21680921 Time: 4.612350
Throughput: 21982597 Time: 4.549053
Throughput: 21752195 Time: 4.597237
Throughput: 21719545 Time: 4.604148
Throughput: 21768219 Time: 4.593853
Throughput: 21705595 Time: 4.607107
Throughput: 21764907 Time: 4.594552
Throughput: 21888533 Time: 4.568602
Throughput: 21870878 Time: 4.572290
Throughput: 21816312 Time: 4.583726
Throughput: 21778042 Time: 4.591781
Throughput: 21635135 Time: 4.622111
Throughput: 21679887 Time: 4.612570
Throughput: 21661919 Time: 4.616396
Throughput: 21797044 Time: 4.587778
Throughput: 21822978 Time: 4.582326
Throughput: 21764339 Time: 4.594672
Throughput: 21769484 Time: 4.593586
Throughput: 21816217 Time: 4.583746
Throughput: 21915608 Time: 4.562958
Throughput: 21778753 Time: 4.591631
Throughput: 21741852 Time: 4.599424
Throughput: 21914042 Time: 4.563284
Throughput: 21664881 Time: 4.615765
Throughput: 21099646 Time: 4.739416
Throughput: 21735222 Time: 4.600827
Throughput: 20823672 Time: 4.802227
Throughput: 21035276 Time: 4.753919
Throughput: 21589813 Time: 4.631814
Throughput: 21905248 Time: 4.565116
Throughput: 21746032 Time: 4.598540
Throughput: 20948221 Time: 4.773675
Throughput: 22128118 Time: 4.519137
Throughput: 22117928 Time: 4.521219
Throughput: 21982824 Time: 4.549006
Throughput: 22047007 Time: 4.535763
Throughput: 22089781 Time: 4.526980
Throughput: 21764140 Time: 4.594714
Throughput: 21695498 Time: 4.609251
Throughput: 21924348 Time: 4.561139
Throughput: 22019471 Time: 4.541435
Throughput: 22031104 Time: 4.539037
Throughput: 22041059 Time: 4.536987
Throughput: 22086332 Time: 4.527687
Throughput: 22023045 Time: 4.540698
Throughput: 21968848 Time: 4.551900
Throughput: 22045102 Time: 4.536155
Throughput: 22040918 Time: 4.537016
Throughput: 21930685 Time: 4.559821
Throughput: 22050347 Time: 4.535076
Throughput: 22086093 Time: 4.527736
Throughput: 22127653 Time: 4.519232
Throughput: 21979838 Time: 4.549624
Throughput: 22019108 Time: 4.541510
Throughput: 21982432 Time: 4.549087
Throughput: 21695550 Time: 4.609240
Throughput: 22022483 Time: 4.540814
Throughput: 21986531 Time: 4.548239
Throughput: 22027537 Time: 4.539772
Throughput: 22018502 Time: 4.541635
Throughput: 21951617 Time: 4.555473
Throughput: 21966903 Time: 4.552303
Throughput: 22118237 Time: 4.521156
Throughput: 22036265 Time: 4.537974
Throughput: 21657401 Time: 4.617359
Throughput: 21722772 Time: 4.603464
Throughput: 21967110 Time: 4.552260
Throughput: 22010190 Time: 4.543350
Throughput: 22010084 Time: 4.543372
Throughput: 21929988 Time: 4.559966
Throughput: 22030435 Time: 4.539175
Throughput: 21969248 Time: 4.551817
Throughput: 22000080 Time: 4.545438
Throughput: 22045034 Time: 4.536169
Throughput: 21946240 Time: 4.556589
Throughput: 22068254 Time: 4.531396
Throughput: 21943852 Time: 4.557085
Throughput: 22027431 Time: 4.539794
Throughput: 22020315 Time: 4.541261
Throughput: 21998995 Time: 4.545662
Throughput: 22021852 Time: 4.540944
Throughput: 21955559 Time: 4.554655
