SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f8000000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 33984348 Time: 2.942531
Throughput: 35418126 Time: 2.823413
Throughput: 34913226 Time: 2.864244
Throughput: 35924985 Time: 2.783578
Throughput: 36212203 Time: 2.761500
Throughput: 36124727 Time: 2.768187
Throughput: 35678492 Time: 2.802809
Throughput: 36122874 Time: 2.768329
Throughput: 35223000 Time: 2.839054
Throughput: 35906939 Time: 2.784977
Throughput: 36080385 Time: 2.771589
Throughput: 36212059 Time: 2.761511
Throughput: 35643063 Time: 2.805595
Throughput: 35977499 Time: 2.779515
Throughput: 35378806 Time: 2.826551
Throughput: 36100626 Time: 2.770035
Throughput: 35851635 Time: 2.789273
Throughput: 36147957 Time: 2.766408
Throughput: 35890894 Time: 2.786222
Throughput: 35865510 Time: 2.788194
Throughput: 36017501 Time: 2.776428
Throughput: 36093916 Time: 2.770550
Throughput: 35862384 Time: 2.788437
Throughput: 34773621 Time: 2.875743
Throughput: 35886270 Time: 2.786581
Throughput: 35667281 Time: 2.803690
Throughput: 35806307 Time: 2.792804
Throughput: 35392316 Time: 2.825472
Throughput: 35398192 Time: 2.825003
Throughput: 35281059 Time: 2.834382
Throughput: 35472716 Time: 2.819068
Throughput: 35119635 Time: 2.847410
Throughput: 35889142 Time: 2.786358
Throughput: 36020926 Time: 2.776164
Throughput: 36029297 Time: 2.775519
Throughput: 36034503 Time: 2.775118
Throughput: 35951837 Time: 2.781499
Throughput: 36105084 Time: 2.769693
Throughput: 36008085 Time: 2.777154
Throughput: 35619715 Time: 2.807434
Throughput: 35922211 Time: 2.783793
Throughput: 36089318 Time: 2.770903
Throughput: 35920030 Time: 2.783962
Throughput: 35973979 Time: 2.779787
Throughput: 36020174 Time: 2.776222
Throughput: 35812334 Time: 2.792334
Throughput: 35945647 Time: 2.781978
Throughput: 35974729 Time: 2.779729
