SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f9400000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 33265460 Time: 3.006121
Throughput: 34536230 Time: 2.895510
Throughput: 34417235 Time: 2.905521
Throughput: 34941052 Time: 2.861963
Throughput: 34901967 Time: 2.865168
Throughput: 34751109 Time: 2.877606
Throughput: 34883242 Time: 2.866706
Throughput: 34719136 Time: 2.880256
Throughput: 33852884 Time: 2.953958
Throughput: 34404884 Time: 2.906564
Throughput: 33386205 Time: 2.995249
Throughput: 34902503 Time: 2.865124
Throughput: 33948030 Time: 2.945679
Throughput: 34243432 Time: 2.920268
Throughput: 33879080 Time: 2.951674
Throughput: 35050479 Time: 2.853028
Throughput: 34983860 Time: 2.858461
Throughput: 34777576 Time: 2.875416
Throughput: 34883461 Time: 2.866688
Throughput: 34874458 Time: 2.867428
Throughput: 34993776 Time: 2.857651
Throughput: 33861780 Time: 2.953182
Throughput: 34939441 Time: 2.862095
Throughput: 34802000 Time: 2.873398
Throughput: 35041403 Time: 2.853767
Throughput: 35086094 Time: 2.850132
Throughput: 34890252 Time: 2.866130
Throughput: 35030539 Time: 2.854652
Throughput: 34977436 Time: 2.858986
Throughput: 34937317 Time: 2.862269
Throughput: 35007729 Time: 2.856512
Throughput: 34806700 Time: 2.873010
Throughput: 35176932 Time: 2.842772
Throughput: 35092607 Time: 2.849603
Throughput: 34787061 Time: 2.874632
Throughput: 33891836 Time: 2.950563
Throughput: 34781749 Time: 2.875071
Throughput: 34984484 Time: 2.858410
Throughput: 35174903 Time: 2.842936
Throughput: 35131269 Time: 2.846467
Throughput: 34848815 Time: 2.869538
Throughput: 34866968 Time: 2.868044
Throughput: 35029582 Time: 2.854730
Throughput: 35125247 Time: 2.846955
Throughput: 34889607 Time: 2.866183
Throughput: 34949124 Time: 2.861302
Throughput: 34851037 Time: 2.869355
Throughput: 35029692 Time: 2.854721
Throughput: 34936694 Time: 2.862320
Throughput: 34822748 Time: 2.871686
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 24105104 Time: 4.148499
Throughput: 18407077 Time: 5.432693
Throughput: 18281552 Time: 5.469995
Throughput: 18492584 Time: 5.407573
Throughput: 18454195 Time: 5.418822
Throughput: 18195924 Time: 5.495736
Throughput: 18453681 Time: 5.418973
Throughput: 18367102 Time: 5.444517
Throughput: 18453905 Time: 5.418907
Throughput: 18348738 Time: 5.449966
Throughput: 18345489 Time: 5.450931
Throughput: 18522243 Time: 5.398914
Throughput: 18459976 Time: 5.417125
Throughput: 18435813 Time: 5.424225
Throughput: 18358925 Time: 5.446942
Throughput: 18416023 Time: 5.430054
Throughput: 18115666 Time: 5.520084
