Workload	Configuration	Time
GUPS	LL	261
GUPS	RL	350
GUPS	RLI	539
GUPS	LR	351
GUPS	LRI	546
GUPS	RR	436
GUPS	RRI	791
GUPS	RRIE	538
GUPS	RRIG	547
GUPS	RRIM	262
GUPS	TLL	80
GUPS	TRRI	85
GUPS	TRRIE	80
GUPS	TRRIG	81
GUPS	TRRIM	83
BTree	LL	419
BTree	RRI	1064
BTree	RRIE	752
BTree	RRIG	736
BTree	RRIM	440
Redis	LL	391
Redis	RL	475
Redis	RLI	612
Redis	LR	470
Redis	LRI	614
Redis	RR	563
Redis	RRI	837
Redis	RRIE	621
Redis	RRIG	607
Redis	RRIM	408
Redis	TLL	282
Redis	TRRI	450
Redis	TRRIE	468
Redis	TRRIG	298
Redis	TRRIM	298
XSBench	LL	193
XSBench	RL	218
XSBench	RLI	266
XSBench	LR	219
XSBench	LRI	274
XSBench	RR	243
XSBench	RRI	345
XSBench	RRIE	274
XSBench	RRIG	271
XSBench	RRIM	201
XSBench	TLL	117
XSBench	TRRI	121
XSBench	TRRIE	121
XSBench	TRRIG	119
XSBench	TRRIM	119
XSBench	OF	686
XSBench	OFMP	577
XSBench	OFMF	580
Canneal	LL	243
Canneal	RR	342
Canneal	RRI	511
Canneal	RRIE	385
Canneal	RRIG	386
Canneal	RRIM	252
Canneal	TLL	146
Canneal	TRRI	184
Canneal	TRRIE	186
Canneal	TRRIG	140
Memcached	LL	368
Memcached	RL	458
Memcached	RLI	617
Memcached	LR	463
Memcached	LRI	620
Memcached	RR	568
Memcached	RRI	895
Memcached	RRIE	625
Memcached	RRIG	607
Memcached	RRIM	375
Graph500	OF	997
Graph500	OFMP	714
Graph500	OFMF	716
