RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication	
33521388	34447633	34463886	33984348	33265460
35142405	35308240	35714221	35418126	34536230
35562155	36106231	36172160	34913226	34417235
35521025	36221017	36488972	35924985	34941052
35689710	35944277	35329546	36212203	34901967
35800847	35750316	36153080	36124727	34751109
35544244	36140707	36333948	35678492	34883242
35724607	35667904	36153512	36122874	34719136
35290210	35765775	35558223	35223000	33852884
35065880	36022912	36143829	35906939	34404884
35137392	36189741	36071782	36080385	33386205
34979418	36264903	36258486	36212059	34902503
35780710	36245423	36461698	35643063	33948030
34973949	36052860	36047220	35977499	34243432
35120177	35815772	36020900	35378806	33879080
35709872	35634096	36233774	36100626	35050479
35570302	35840675	36176164	35851635	34983860
35465696	35722297	34868366	36147957	34777576
35529128	35440683	36012326	35890894	34883461
35728985	36054316	36030621	35865510	34874458
34672741	36002148	36067255	36017501	34993776
35728755	36196264	35857729	36093916	33861780
35311532	36279454	35569973	35862384	34939441
35475334	36184712	35832032	34773621	34802000
35749371	36326477	35509018	35886270	35041403
35782963	36143515	36148911	35667281	35086094
35678454	36084851	36452939	35806307	34890252
35825138	36239381	36388367	35392316	35030539
35686386	35598628	36262970	35398192	34977436
36091024	36292950	36425971	35281059	34937317
35659026	36318192	36296441	35472716	35007729
35844567	36163095	36428757	35119635	34806700
35999388	36166705	36518394	35889142	35176932
35950971	36307076	36546194	36020926	35092607
35346830	36293240	36444158	36029297	34787061
35890611	36198715	36399294	36034503	33891836
36349717	36252427	36336377	35951837	34781749
35848101	36198911	36388089	36105084	34984484
35499034	36303702	36552433	36008085	35174903
34853491	35652352	36130939	35619715	35131269
36006335	35840842	36330278	35922211	34848815
35775717	35472754	36314486	36089318	34866968
35877335	36098528	36497082	35920030	35029582
36013545	36329143	36450188	35973979	35125247
35746010	36052210	36354607	36020174	34889607
34808869	36336483	36625287	35812334	34949124
35143702	36388632	36808564	35945647	34851037
35824266	36205202	36520381	35974729	35029692
35916908	36255160	36806925	35937341	34936694
36116129	36134569	36837812	35914522	34822748
14589741	15601040	15096976	15462976	24105104
12117287	12039144	12029897	12055805	18407077
12100970	11881789	12120446	11917252	18281552
11954151	11848109	12014526	11959377	18492584
12071844	12063635	12118951	12002335	18454195
12055511	11975718	12119762	12053587	18195924
12070403	11939934	12117899	12093343	18453681
12086815	11838857	12122383	12054285	18367102
12069333	11905283	12154092	11943341	18453905
11919421	11970532	12120722	12114297	18348738
11847986	12073311	12183905	12133093	18345489
11882007	12039159	12121717	12091484	18522243
11879546	11993657	11734959	12137925	18459976
11932178	11962578	11890896	12079573	18435813
11909161	11732840	11960746	11663384	18358925
11946888	11879601	11978852	11976884	18416023
11957741	11777325	11762138	11856586	18115666
11982588	11754168	11936591	11887539	17957438
11879972	11828610	11847795	11782387	18377498
11927776	11689487	11972907	11946943	18272790
8803762	11875336	8762804	11943404	18285082
9052559	11721034	8757976	11952383	18329292
9045003	8999236	9691744	9464030	18364080
9223510	9060967	9772026	8318048	18423718
6923049	9921040	8348670	8686626	18367307
8345771	8695910	7786550	9147518	18329325
13488963	5653447	6978551	9597906	18413056
12104310	16374051	18959621	5728199	18352125
12735856	14893097	19156167	18067359	18423266
12885742	13472747	15674354	20031405	18348866
12960044	17293459	19600779	24285632	18316229
11694758	13099663	19505002	25511896	17553893
11895634	14740963	19384240	25061117	14849580
11916857	16739026	15751901	20323294	14245081
12085242	17581722	15937761	21449865	13502399
16745902	15151813	19390870	25748867	15386331
17162293	18992501	18449721	27155892	14014988
17239869	22881855	18345133	21638970	15453337
17121030	23077132	16291447	21799781	12642293
16973787	23029317	20682352	22669033	10643683
17145512	23204693	16462989	31535445	20621345
17204564	23037928	18246550	31598711	20525363
17101913	22935890	21721502	31648484	22825583
17225244	23106150	21757330	31745074	21849222
17165207	23003899	21680921	31534649	21187289
16809674	22758664	21982597	31544089	22330106
16900667	22277976	21752195	31217426	23538378
16396797	22878091	21719545	31695359	24449315
17105286	22956414	21768219	31649515	28305422
17161843	22717008	21705595	31534003	26258918
17097018	23038507	21764907	31694847	26062903
17242324	22851308	21888533	31706886	25589603
17274221	22326103	21870878	31713633	23238660
17393482	22381008	21816312	31798544	27969743
17280686	21905996	21778042	31526000	27362094
17336815	22082459	21635135	31537752	25115089
17310115	22446024	21679887	30959349	30206944
17303280	22702027	21661919	31835312	29461806
17386094	22656543	21797044	31550220	31853869
17234856	23117431	21822978	31851160	32954282
17141529	23184572	21764339	31917871	28390250
17277719	23180036	21769484	31509838	24564103
17377580	23164647	21816217	31629674	33156762
17228452	23112462	21915608	31841678	32657273
17257002	22949528	21778753	31638931	25237663
17279856	23169021	21741852	31511089	33191241
17278020	23182309	21914042	31153172	24957491
17246883	23078117	21664881	31333464	30679853
17259260	23120644	21099646	31856467	34785645
17295227	22794417	21735222	31679384	35625996
17261769	23208436	20823672	31636248	35740299
17006464	22981759	21035276	31506800	36223235
17255883	23146921	21589813	31514991	35954694
17265935	23140820	21905248	31606361	35958702
17261554	23159947	21746032	31801649	35799104
17237257	23088438	20948221	29875609	35769332
17285878	23071020	22128118	35284221	35723203
17057281	23137864	22117928	35127184	35902955
17295224	23180842	21982824	34697548	35954888
17227333	23284903	22047007	35583807	36301330
17248591	23032532	22089781	33455210	35994606
