SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f9000000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 24458644 Time: 4.088534
Throughput: 33072239 Time: 3.023684
Throughput: 33251645 Time: 3.007370
Throughput: 32911116 Time: 3.038487
Throughput: 33246371 Time: 3.007847
Throughput: 34027934 Time: 2.938762
Throughput: 32884838 Time: 3.040915
Throughput: 33865954 Time: 2.952818
Throughput: 33079098 Time: 3.023057
Throughput: 34494082 Time: 2.899048
Throughput: 33406683 Time: 2.993413
Throughput: 34174271 Time: 2.926178
Throughput: 32903796 Time: 3.039163
Throughput: 33960343 Time: 2.944611
Throughput: 33045561 Time: 3.026125
Throughput: 34215254 Time: 2.922673
Throughput: 33194745 Time: 3.012525
Throughput: 34491024 Time: 2.899305
Throughput: 33708202 Time: 2.966637
Throughput: 33261466 Time: 3.006482
Throughput: 33861963 Time: 2.953166
Throughput: 33194095 Time: 3.012584
Throughput: 33306987 Time: 3.002373
Throughput: 32802426 Time: 3.048555
Throughput: 32809776 Time: 3.047872
Throughput: 32117266 Time: 3.113590
Throughput: 32340240 Time: 3.092123
Throughput: 33895122 Time: 2.950277
Throughput: 33726710 Time: 2.965009
Throughput: 33851876 Time: 2.954046
Throughput: 32998726 Time: 3.030420
Throughput: 33582019 Time: 2.977784
Throughput: 33622520 Time: 2.974197
Throughput: 33653207 Time: 2.971485
Throughput: 33465410 Time: 2.988160
Throughput: 33210476 Time: 3.011098
Throughput: 33663629 Time: 2.970565
Throughput: 33906546 Time: 2.949283
Throughput: 32793476 Time: 3.049387
Throughput: 33114523 Time: 3.019823
Throughput: 32692740 Time: 3.058783
Throughput: 32893795 Time: 3.040087
Throughput: 34858460 Time: 2.868744
Throughput: 33724048 Time: 2.965243
Throughput: 34267781 Time: 2.918193
Throughput: 34760543 Time: 2.876825
Throughput: 34904537 Time: 2.864957
Throughput: 34759165 Time: 2.876939
Throughput: 34489466 Time: 2.899436
Throughput: 33289790 Time: 3.003924
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 24254713 Time: 4.122910
Throughput: 14829442 Time: 6.743342
Throughput: 14338418 Time: 6.974270
Throughput: 14731317 Time: 6.788259
Throughput: 14652806 Time: 6.824631
Throughput: 14585968 Time: 6.855904
Throughput: 14748296 Time: 6.780444
Throughput: 14703017 Time: 6.801325
Throughput: 14802225 Time: 6.755741
Throughput: 14348602 Time: 6.969320
Throughput: 14636475 Time: 6.832246
Throughput: 14710347 Time: 6.797936
Throughput: 14774835 Time: 6.768265
Throughput: 14534216 Time: 6.880316
Throughput: 13952948 Time: 7.166944
Throughput: 13874802 Time: 7.207310
Throughput: 13688879 Time: 7.305200
Throughput: 13260520 Time: 7.541182
Throughput: 13823503 Time: 7.234056
Throughput: 13701676 Time: 7.298377
Throughput: 13798106 Time: 7.247371
Throughput: 13708490 Time: 7.294749
Throughput: 13494529 Time: 7.410410
Throughput: 13654188 Time: 7.323760
Throughput: 13537744 Time: 7.386755
Throughput: 13339515 Time: 7.496524
Throughput: 13620751 Time: 7.341739
Throughput: 14027342 Time: 7.128934
Throughput: 13976574 Time: 7.154829
Throughput: 14080501 Time: 7.102020
Throughput: 14001123 Time: 7.142284
Throughput: 13501134 Time: 7.406785
Throughput: 12312802 Time: 8.121628
Throughput: 12189645 Time: 8.203684
Throughput: 12194017 Time: 8.200743
Throughput: 12212802 Time: 8.188129
Throughput: 12340997 Time: 8.103073
Throughput: 12581074 Time: 7.948447
Throughput: 12861385 Time: 7.775212
Throughput: 13191837 Time: 7.580445
Throughput: 13257152 Time: 7.543098
Throughput: 13292436 Time: 7.523075
Throughput: 13626369 Time: 7.338712
Throughput: 13690708 Time: 7.304224
Throughput: 13994093 Time: 7.145872
Throughput: 13230164 Time: 7.558485
Throughput: 13947946 Time: 7.169514
Throughput: 14611357 Time: 6.843991
Throughput: 14243526 Time: 7.020733
Throughput: 12888981 Time: 7.758565
Throughput: 12409425 Time: 8.058391
Throughput: 13011440 Time: 7.685544
Throughput: 14258685 Time: 7.013269
Throughput: 14989027 Time: 6.671547
Throughput: 14351209 Time: 6.968054
Throughput: 15364893 Time: 6.508343
Throughput: 15630201 Time: 6.397870
Throughput: 16788692 Time: 5.956390
Throughput: 15875079 Time: 6.299181
Throughput: 17225695 Time: 5.805281
Throughput: 16328652 Time: 6.124204
Throughput: 16456690 Time: 6.076556
Throughput: 16873556 Time: 5.926433
Throughput: 19427989 Time: 5.147213
Throughput: 19670727 Time: 5.083696
Throughput: 17335063 Time: 5.768655
Throughput: 18465365 Time: 5.415544
Throughput: 22486675 Time: 4.447078
Throughput: 26817452 Time: 3.728915
Throughput: 27324539 Time: 3.659714
Throughput: 29298534 Time: 3.413140
Throughput: 31631155 Time: 3.161440
Throughput: 33580406 Time: 2.977927
Throughput: 34009198 Time: 2.940381
Throughput: 33423543 Time: 2.991903
Throughput: 33810260 Time: 2.957682
Throughput: 33835771 Time: 2.955452
Throughput: 33714191 Time: 2.966110
Throughput: 34079027 Time: 2.934356
Throughput: 33595230 Time: 2.976613
Throughput: 34064876 Time: 2.935575
Throughput: 33081155 Time: 3.022869
Throughput: 33084362 Time: 3.022576
Throughput: 34591495 Time: 2.890884
Throughput: 30272363 Time: 3.303343
Throughput: 34743840 Time: 2.878208
Throughput: 30625273 Time: 3.265277
Throughput: 34895536 Time: 2.865696
Throughput: 30161708 Time: 3.315462
Throughput: 35196185 Time: 2.841217
Throughput: 33786420 Time: 2.959769
Throughput: 32999651 Time: 3.030335
Throughput: 34966954 Time: 2.859843
Throughput: 33847522 Time: 2.954426
Throughput: 33789148 Time: 2.959530
Throughput: 35153474 Time: 2.844669
Throughput: 33834318 Time: 2.955579
Throughput: 34530339 Time: 2.896004
Throughput: 32783918 Time: 3.050276
Throughput: 34538102 Time: 2.895353
Throughput: 33663233 Time: 2.970600
Throughput: 34208407 Time: 2.923258
Throughput: 33780337 Time: 2.960302
Throughput: 33364985 Time: 2.997154
Throughput: 33585267 Time: 2.977496
Throughput: 33614236 Time: 2.974930
Throughput: 33443205 Time: 2.990144
Throughput: 33347194 Time: 2.998753
Throughput: 34358759 Time: 2.910466
Throughput: 33501073 Time: 2.984979
Throughput: 33562464 Time: 2.979519
Throughput: 33143542 Time: 3.017179
Throughput: 34780540 Time: 2.875171
Throughput: 32668859 Time: 3.061019
Throughput: 33253115 Time: 3.007237
Throughput: 33887311 Time: 2.950957
Throughput: 33285668 Time: 3.004296
Throughput: 35075744 Time: 2.850973
Throughput: 33533168 Time: 2.982122
Throughput: 34947524 Time: 2.861433
Throughput: 33271680 Time: 3.005559
Throughput: 34323026 Time: 2.913496
Throughput: 33752915 Time: 2.962707
Throughput: 33897661 Time: 2.950056
Throughput: 34038868 Time: 2.937818
Throughput: 34849677 Time: 2.869467
Throughput: 33798125 Time: 2.958744
Throughput: 34914530 Time: 2.864137
Throughput: 34174586 Time: 2.926151
Throughput: 33983020 Time: 2.942646
Throughput: 35189261 Time: 2.841776
Throughput: 33241089 Time: 3.008325
Throughput: 32987274 Time: 3.031472
Throughput: 33531425 Time: 2.982277
Throughput: 35278184 Time: 2.834613
Throughput: 33723014 Time: 2.965334
Throughput: 33077446 Time: 3.023208
Throughput: 32599178 Time: 3.067562
Throughput: 34515107 Time: 2.897282
Throughput: 33833150 Time: 2.955681
Throughput: 33198062 Time: 3.012224
Throughput: 34447064 Time: 2.903005
Throughput: 32604194 Time: 3.067090
Throughput: 34527894 Time: 2.896209
Throughput: 33837603 Time: 2.955292
Throughput: 35529216 Time: 2.814585
Throughput: 33696593 Time: 2.967659
Throughput: 35152103 Time: 2.844780
Throughput: 33519287 Time: 2.983357
Throughput: 34978084 Time: 2.858933
Throughput: 33912720 Time: 2.948746
Throughput: 34015780 Time: 2.939812
Throughput: 35056918 Time: 2.852504
Throughput: 34040409 Time: 2.937685
Throughput: 34600627 Time: 2.890121
Throughput: 34142930 Time: 2.928864
Throughput: 34400908 Time: 2.906900
Throughput: 33678708 Time: 2.969235
Throughput: 33605707 Time: 2.975685
Throughput: 34984863 Time: 2.858379
Throughput: 33907983 Time: 2.949158
Throughput: 34463577 Time: 2.901614
Throughput: 33276109 Time: 3.005159
Throughput: 34934571 Time: 2.862494
Throughput: 33975550 Time: 2.943293
Throughput: 34993555 Time: 2.857669
Throughput: 34712917 Time: 2.880772
Throughput: 34411609 Time: 2.905996
Throughput: 34006156 Time: 2.940644
Throughput: 34244229 Time: 2.920200
Throughput: 35180175 Time: 2.842510
