SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f9a00000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 28826310 Time: 3.469053
Throughput: 33367991 Time: 2.996884
Throughput: 34079631 Time: 2.934304
Throughput: 34303728 Time: 2.915135
Throughput: 33863442 Time: 2.953037
Throughput: 34619985 Time: 2.888505
Throughput: 33905626 Time: 2.949363
Throughput: 33191043 Time: 3.012861
Throughput: 33199296 Time: 3.012112
Throughput: 34631159 Time: 2.887573
Throughput: 33360945 Time: 2.997517
Throughput: 34676552 Time: 2.883793
Throughput: 33528783 Time: 2.982512
Throughput: 34448654 Time: 2.902871
Throughput: 33820632 Time: 2.956775
Throughput: 34315959 Time: 2.914096
Throughput: 33991695 Time: 2.941895
Throughput: 33433008 Time: 2.991056
Throughput: 34760253 Time: 2.876849
Throughput: 33749111 Time: 2.963041
Throughput: 34365335 Time: 2.909909
Throughput: 33997196 Time: 2.941419
Throughput: 34513487 Time: 2.897418
Throughput: 33465421 Time: 2.988159
Throughput: 34736249 Time: 2.878837
Throughput: 33952514 Time: 2.945290
Throughput: 34077971 Time: 2.934447
Throughput: 34180146 Time: 2.925675
Throughput: 34275204 Time: 2.917561
Throughput: 33852311 Time: 2.954008
Throughput: 34163389 Time: 2.927110
Throughput: 34258565 Time: 2.918978
Throughput: 32602696 Time: 3.067231
Throughput: 33677279 Time: 2.969361
Throughput: 33441438 Time: 2.990302
Throughput: 33379731 Time: 2.995830
Throughput: 33870703 Time: 2.952404
Throughput: 34899787 Time: 2.865347
Throughput: 33756242 Time: 2.962415
Throughput: 35214069 Time: 2.839774
Throughput: 34219890 Time: 2.922277
Throughput: 34430673 Time: 2.904387
Throughput: 35113654 Time: 2.847895
Throughput: 33884119 Time: 2.951235
Throughput: 34640036 Time: 2.886833
Throughput: 33715794 Time: 2.965969
Throughput: 34880638 Time: 2.866920
Throughput: 33485199 Time: 2.986394
Throughput: 34144061 Time: 2.928767
Throughput: 33794915 Time: 2.959025
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 28541484 Time: 3.503672
Throughput: 12732318 Time: 7.854029
Throughput: 12270781 Time: 8.149440
Throughput: 12210868 Time: 8.189426
Throughput: 10913680 Time: 9.162812
Throughput: 12153220 Time: 8.228272
Throughput: 12076683 Time: 8.280419
Throughput: 12108500 Time: 8.258661
Throughput: 12208025 Time: 8.191333
Throughput: 12127719 Time: 8.245573
Throughput: 12057020 Time: 8.293923
Throughput: 12143504 Time: 8.234855
Throughput: 12015958 Time: 8.322266
Throughput: 12090440 Time: 8.270997
Throughput: 12206606 Time: 8.192285
Throughput: 12012593 Time: 8.324597
Throughput: 12010616 Time: 8.325967
Throughput: 11808816 Time: 8.468249
Throughput: 11678529 Time: 8.562722
Throughput: 11612528 Time: 8.611389
Throughput: 11431073 Time: 8.748085
Throughput: 11665302 Time: 8.572431
Throughput: 11561402 Time: 8.649470
Throughput: 11592978 Time: 8.625911
Throughput: 11419960 Time: 8.756598
Throughput: 11492616 Time: 8.701239
Throughput: 11560199 Time: 8.650370
Throughput: 11481979 Time: 8.709300
Throughput: 11472334 Time: 8.716622
Throughput: 11423772 Time: 8.753676
Throughput: 11935029 Time: 8.378697
Throughput: 12716996 Time: 7.863492
Throughput: 13764704 Time: 7.264958
Throughput: 14035241 Time: 7.124922
Throughput: 14364272 Time: 6.961717
Throughput: 14118433 Time: 7.082939
Throughput: 14117049 Time: 7.083633
Throughput: 14122751 Time: 7.080773
Throughput: 14000899 Time: 7.142398
Throughput: 13953234 Time: 7.166797
Throughput: 13181593 Time: 7.586336
Throughput: 13574407 Time: 7.366804
Throughput: 13371679 Time: 7.478492
Throughput: 13345605 Time: 7.493103
Throughput: 13370458 Time: 7.479175
Throughput: 13534832 Time: 7.388344
Throughput: 13586240 Time: 7.360388
Throughput: 13937845 Time: 7.174710
Throughput: 13501012 Time: 7.406852
Throughput: 13386986 Time: 7.469941
Throughput: 13446108 Time: 7.437096
Throughput: 13427663 Time: 7.447312
Throughput: 13749236 Time: 7.273131
Throughput: 14247506 Time: 7.018772
Throughput: 14002174 Time: 7.141748
Throughput: 14052805 Time: 7.116017
Throughput: 14696716 Time: 6.804241
Throughput: 14341965 Time: 6.972545
Throughput: 14413541 Time: 6.937920
Throughput: 14526030 Time: 6.884193
Throughput: 14802234 Time: 6.755737
Throughput: 14509033 Time: 6.892258
Throughput: 14826034 Time: 6.744892
Throughput: 14810628 Time: 6.751908
Throughput: 14447046 Time: 6.921830
Throughput: 14885336 Time: 6.718021
Throughput: 15161333 Time: 6.595726
Throughput: 14697249 Time: 6.803994
Throughput: 15266369 Time: 6.550346
Throughput: 15222973 Time: 6.569019
Throughput: 14919218 Time: 6.702764
Throughput: 15635876 Time: 6.395548
Throughput: 14859026 Time: 6.729916
Throughput: 14596191 Time: 6.851102
Throughput: 15971568 Time: 6.261126
Throughput: 15103157 Time: 6.621132
Throughput: 16203101 Time: 6.171658
Throughput: 15551359 Time: 6.430306
Throughput: 16450095 Time: 6.078992
Throughput: 15897968 Time: 6.290112
Throughput: 16883139 Time: 5.923069
Throughput: 16419325 Time: 6.090384
Throughput: 17559327 Time: 5.694979
Throughput: 16734488 Time: 5.975683
Throughput: 17834152 Time: 5.607219
Throughput: 17021189 Time: 5.875030
Throughput: 18180581 Time: 5.500374
Throughput: 18227592 Time: 5.486188
Throughput: 17204241 Time: 5.812520
Throughput: 18503927 Time: 5.404258
Throughput: 17844979 Time: 5.603817
Throughput: 18431474 Time: 5.425502
Throughput: 18701936 Time: 5.347040
Throughput: 18037280 Time: 5.544073
Throughput: 18797716 Time: 5.319795
Throughput: 19390306 Time: 5.157216
Throughput: 19392875 Time: 5.156533
Throughput: 18142847 Time: 5.511814
Throughput: 19797319 Time: 5.051189
Throughput: 19839388 Time: 5.040478
Throughput: 18661033 Time: 5.358760
Throughput: 20101852 Time: 4.974666
Throughput: 20413924 Time: 4.898617
Throughput: 20326512 Time: 4.919683
Throughput: 20548488 Time: 4.866538
Throughput: 19488181 Time: 5.131315
Throughput: 22549353 Time: 4.434717
Throughput: 22262398 Time: 4.491879
Throughput: 22315650 Time: 4.481160
Throughput: 22094901 Time: 4.525931
Throughput: 22506372 Time: 4.443186
Throughput: 22202279 Time: 4.504042
Throughput: 22518561 Time: 4.440781
Throughput: 22359674 Time: 4.472337
Throughput: 22203472 Time: 4.503800
Throughput: 22488880 Time: 4.446642
Throughput: 22555344 Time: 4.433539
Throughput: 22239400 Time: 4.496524
Throughput: 22349035 Time: 4.474466
Throughput: 22649779 Time: 4.415054
Throughput: 22584558 Time: 4.427804
Throughput: 22607954 Time: 4.423222
Throughput: 22591395 Time: 4.426464
Throughput: 22539518 Time: 4.436652
Throughput: 22639154 Time: 4.417126
Throughput: 22423158 Time: 4.459675
Throughput: 22487287 Time: 4.446957
Throughput: 22822947 Time: 4.381555
Throughput: 22606707 Time: 4.423466
Throughput: 22488450 Time: 4.446727
Throughput: 22345040 Time: 4.475266
Throughput: 22901396 Time: 4.366546
Throughput: 22738517 Time: 4.397824
Throughput: 21825588 Time: 4.581778
Throughput: 22528667 Time: 4.438789
Throughput: 21518403 Time: 4.647185
Throughput: 22940236 Time: 4.359153
Throughput: 21888610 Time: 4.568586
Throughput: 22554861 Time: 4.433634
Throughput: 22185015 Time: 4.507547
Throughput: 22427624 Time: 4.458787
Throughput: 22409616 Time: 4.462370
Throughput: 22351693 Time: 4.473934
Throughput: 22278611 Time: 4.488610
Throughput: 22388769 Time: 4.466525
Throughput: 22747802 Time: 4.396029
Throughput: 22588711 Time: 4.426990
Throughput: 22739009 Time: 4.397729
Throughput: 22199642 Time: 4.504577
Throughput: 22913811 Time: 4.364180
Throughput: 22196745 Time: 4.505165
Throughput: 22355870 Time: 4.473098
Throughput: 22184538 Time: 4.507644
Throughput: 22186772 Time: 4.507190
Throughput: 22228465 Time: 4.498736
Throughput: 22543441 Time: 4.435880
Throughput: 22663089 Time: 4.412461
Throughput: 22237407 Time: 4.496927
Throughput: 22609201 Time: 4.422978
Throughput: 22375103 Time: 4.469253
Throughput: 22536821 Time: 4.437183
Throughput: 22452177 Time: 4.453911
Throughput: 22021513 Time: 4.541014
Throughput: 22081309 Time: 4.528717
Throughput: 22385547 Time: 4.467168
Throughput: 22443223 Time: 4.455688
Throughput: 22586073 Time: 4.427507
Throughput: 22760611 Time: 4.393555
Throughput: 22389220 Time: 4.466435
Throughput: 22563273 Time: 4.431981
Throughput: 22410058 Time: 4.462282
Throughput: 22224242 Time: 4.499591
Throughput: 22739970 Time: 4.397543
Throughput: 21869338 Time: 4.572612
Throughput: 22620022 Time: 4.420862
Throughput: 22144642 Time: 4.515765
Throughput: 22599375 Time: 4.424901
Throughput: 22277941 Time: 4.488745
Throughput: 22674919 Time: 4.410159
Throughput: 22491363 Time: 4.446151
Throughput: 22421514 Time: 4.460002
Throughput: 22235781 Time: 4.497256
Throughput: 22382996 Time: 4.467677
Throughput: 22628908 Time: 4.419126
Throughput: 21867659 Time: 4.572963
Throughput: 22589777 Time: 4.426781
Throughput: 22467997 Time: 4.450775
Throughput: 22699259 Time: 4.405430
Throughput: 21801639 Time: 4.586811
Throughput: 22530956 Time: 4.438338
Throughput: 22432177 Time: 4.457882
Throughput: 22048227 Time: 4.535512
Throughput: 22553116 Time: 4.433977
Throughput: 22295823 Time: 4.485145
Throughput: 22544915 Time: 4.435590
Throughput: 22544976 Time: 4.435578
Throughput: 22336785 Time: 4.476920
Throughput: 22040029 Time: 4.537199
Throughput: 23001153 Time: 4.347608
Throughput: 22492805 Time: 4.445866
Throughput: 22488551 Time: 4.446707
Throughput: 23003291 Time: 4.347204
Throughput: 22193641 Time: 4.505795
Throughput: 22624521 Time: 4.419983
Throughput: 22493255 Time: 4.445777
Throughput: 22484137 Time: 4.447580
Throughput: 22103931 Time: 4.524082
Throughput: 22262809 Time: 4.491796
Throughput: 22493352 Time: 4.445758
Throughput: 22398041 Time: 4.464676
Throughput: 22363079 Time: 4.471656
Throughput: 22155882 Time: 4.513474
Throughput: 21978809 Time: 4.549837
Throughput: 22199987 Time: 4.504507
Throughput: 22360164 Time: 4.472239
Throughput: 21961447 Time: 4.553434
Throughput: 22194163 Time: 4.505689
Throughput: 22101865 Time: 4.524505
Throughput: 22183460 Time: 4.507863
Throughput: 22298333 Time: 4.484640
Throughput: 22614370 Time: 4.421967
Throughput: 22787042 Time: 4.388459
Throughput: 22378894 Time: 4.468496
Throughput: 22551097 Time: 4.434374
Throughput: 22449813 Time: 4.454380
Throughput: 22444165 Time: 4.455501
Throughput: 22369202 Time: 4.470432
Throughput: 22713582 Time: 4.402652
Throughput: 22746684 Time: 4.396245
Throughput: 22481443 Time: 4.448113
Throughput: 22949444 Time: 4.357404
Throughput: 22414584 Time: 4.461381
Throughput: 22368212 Time: 4.470630
Throughput: 22415800 Time: 4.461139
Throughput: 22679408 Time: 4.409286
Throughput: 22672436 Time: 4.410642
Throughput: 22906232 Time: 4.365624
Throughput: 21896887 Time: 4.566859
Throughput: 22529164 Time: 4.438691
Throughput: 22277490 Time: 4.488836
Throughput: 22045155 Time: 4.536144
Throughput: 22694144 Time: 4.406423
Throughput: 22535653 Time: 4.437413
Throughput: 22486635 Time: 4.447086
Throughput: 22322908 Time: 4.479703
Throughput: 22749277 Time: 4.395744
Throughput: 22173465 Time: 4.509895
Throughput: 22760886 Time: 4.393502
Throughput: 22573200 Time: 4.430032
Throughput: 22302675 Time: 4.483767
Throughput: 22675927 Time: 4.409963
Throughput: 22615112 Time: 4.421822
Throughput: 22833875 Time: 4.379458
Throughput: 22384715 Time: 4.467334
Throughput: 22863633 Time: 4.373758
Throughput: 22068293 Time: 4.531388
Throughput: 22464645 Time: 4.451439
Throughput: 22114754 Time: 4.521868
Throughput: 22467699 Time: 4.450834
Throughput: 22606160 Time: 4.423573
Throughput: 22225941 Time: 4.499247
Throughput: 22775800 Time: 4.390625
Throughput: 22107049 Time: 4.523444
Throughput: 22631945 Time: 4.418533
Throughput: 22345070 Time: 4.475260
Throughput: 22823124 Time: 4.381521
Throughput: 22151239 Time: 4.514420
Throughput: 22579301 Time: 4.428835
Throughput: 21845646 Time: 4.577571
Throughput: 22531692 Time: 4.438193
Throughput: 22841052 Time: 4.378082
Throughput: 22328580 Time: 4.478565
Throughput: 22794755 Time: 4.386974
Throughput: 22276328 Time: 4.489070
Throughput: 22980903 Time: 4.351439
Throughput: 22397419 Time: 4.464800
Throughput: 22287450 Time: 4.486830
Throughput: 21925699 Time: 4.560858
Throughput: 22206721 Time: 4.503141
Throughput: 22623758 Time: 4.420132
Throughput: 22309009 Time: 4.482494
Throughput: 22565228 Time: 4.431597
Throughput: 22402030 Time: 4.463881
Throughput: 22740544 Time: 4.397432
Throughput: 22371890 Time: 4.469895
Throughput: 22767021 Time: 4.392318
Throughput: 22310990 Time: 4.482096
Throughput: 22610561 Time: 4.422712
Throughput: 22629574 Time: 4.418996
Throughput: 22251901 Time: 4.493998
Throughput: 22542302 Time: 4.436104
Throughput: 22043420 Time: 4.536501
Throughput: 22777569 Time: 4.390284
Throughput: 21927386 Time: 4.560507
Throughput: 22722031 Time: 4.401015
Throughput: 22074845 Time: 4.530043
Throughput: 22404675 Time: 4.463354
Throughput: 22671336 Time: 4.410856
Throughput: 22333757 Time: 4.477527
Throughput: 22969464 Time: 4.353606
signalling done to /tmp/alloctest-bench.done
/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st 
<benchmark exec="/home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st">
<config>
  <openmp>on</openmp>  <memsize>1G <memsize>  <hugetlb>0</hugetlb>
  <data>-1</data>  <interference>0</interference>
</config>
<run>
****success****
Execution Time (seconds): 1752
Initialization Time (seconds): 161


/home/ashish/mirage-asplos21-artifact/bin/numactl -c 0  /home/ashish/mirage-asplos21-artifact/bin/bench_memcached0_st 
