SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f7200000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 24030484 Time: 4.161381
Throughput: 33301840 Time: 3.002837
Throughput: 33006666 Time: 3.029691
Throughput: 33356983 Time: 2.997873
Throughput: 33246106 Time: 3.007871
Throughput: 33865128 Time: 2.952890
Throughput: 34172285 Time: 2.926348
Throughput: 33176618 Time: 3.014171
Throughput: 33194557 Time: 3.012542
Throughput: 33568401 Time: 2.978992
Throughput: 33136304 Time: 3.017838
Throughput: 33908029 Time: 2.949154
Throughput: 33679695 Time: 2.969148
Throughput: 33529739 Time: 2.982427
Throughput: 33249035 Time: 3.007606
Throughput: 33958486 Time: 2.944772
Throughput: 34170732 Time: 2.926481
Throughput: 34954951 Time: 2.860825
Throughput: 34576568 Time: 2.892132
Throughput: 34948074 Time: 2.861388
Throughput: 34909046 Time: 2.864587
Throughput: 34354615 Time: 2.910817
Throughput: 34886783 Time: 2.866415
Throughput: 33882420 Time: 2.951383
Throughput: 34654045 Time: 2.885666
Throughput: 34646973 Time: 2.886255
Throughput: 33856231 Time: 2.953666
Throughput: 33086453 Time: 3.022385
Throughput: 34052951 Time: 2.936603
Throughput: 34535943 Time: 2.895534
Throughput: 33529626 Time: 2.982437
Throughput: 34447242 Time: 2.902990
Throughput: 34457034 Time: 2.902165
Throughput: 33999959 Time: 2.941180
Throughput: 33601529 Time: 2.976055
Throughput: 34589760 Time: 2.891029
Throughput: 33862697 Time: 2.953102
Throughput: 34135261 Time: 2.929522
Throughput: 32737103 Time: 3.054638
Throughput: 34080108 Time: 2.934263
Throughput: 33560639 Time: 2.979681
Throughput: 34267006 Time: 2.918259
Throughput: 33831662 Time: 2.955811
Throughput: 34582762 Time: 2.891614
Throughput: 34147920 Time: 2.928436
Throughput: 33742460 Time: 2.963625
Throughput: 34570448 Time: 2.892644
Throughput: 33421097 Time: 2.992122
Throughput: 34384147 Time: 2.908317
Throughput: 33962084 Time: 2.944460
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 28466274 Time: 3.512929
Throughput: 12542000 Time: 7.973210
Throughput: 12188222 Time: 8.204642
Throughput: 11929982 Time: 8.382242
Throughput: 12023663 Time: 8.316933
Throughput: 11862835 Time: 8.429688
Throughput: 11894270 Time: 8.407409
Throughput: 11720259 Time: 8.532234
Throughput: 11780604 Time: 8.488529
Throughput: 11712720 Time: 8.537726
Throughput: 11677799 Time: 8.563257
Throughput: 11439847 Time: 8.741375
Throughput: 11349595 Time: 8.810887
Throughput: 10987875 Time: 9.100940
Throughput: 11204601 Time: 8.924905
Throughput: 11345290 Time: 8.814230
Throughput: 11366555 Time: 8.797740
Throughput: 11371089 Time: 8.794232
Throughput: 10907461 Time: 9.168036
Throughput: 10856711 Time: 9.210892
Throughput: 11091074 Time: 9.016259
Throughput: 11229056 Time: 8.905468
Throughput: 11188189 Time: 8.937997
Throughput: 11091672 Time: 9.015773
Throughput: 10173138 Time: 9.829808
Throughput: 9941797 Time: 10.058543
Throughput: 10124915 Time: 9.876626
Throughput: 10190867 Time: 9.812707
Throughput: 8807359 Time: 11.354141
Throughput: 9821044 Time: 10.182216
Throughput: 10160779 Time: 9.841765
Throughput: 9460434 Time: 10.570339
Throughput: 9983690 Time: 10.016336
Throughput: 11684597 Time: 8.558275
Throughput: 18338287 Time: 5.453072
Throughput: 19399910 Time: 5.154663
