SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f4e00000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 34544879 Time: 2.894785
Throughput: 35940092 Time: 2.782408
Throughput: 36215901 Time: 2.761218
Throughput: 36458189 Time: 2.742868
Throughput: 36593068 Time: 2.732758
Throughput: 36471352 Time: 2.741878
Throughput: 36224402 Time: 2.760570
Throughput: 36362856 Time: 2.750059
Throughput: 36292937 Time: 2.755357
Throughput: 35978858 Time: 2.779410
Throughput: 36327111 Time: 2.752765
Throughput: 35218981 Time: 2.839378
Throughput: 36443759 Time: 2.743954
Throughput: 36116885 Time: 2.768788
Throughput: 36251415 Time: 2.758513
Throughput: 36196487 Time: 2.762699
Throughput: 36066891 Time: 2.772626
Throughput: 36258946 Time: 2.757940
Throughput: 36150911 Time: 2.766182
Throughput: 36274848 Time: 2.756731
Throughput: 35717296 Time: 2.799764
Throughput: 36101004 Time: 2.770006
Throughput: 36424100 Time: 2.745435
Throughput: 36262155 Time: 2.757696
Throughput: 35877502 Time: 2.787262
Throughput: 36294492 Time: 2.755239
Throughput: 36090633 Time: 2.770802
Throughput: 36075660 Time: 2.771952
Throughput: 36050196 Time: 2.773910
Throughput: 35866809 Time: 2.788093
Throughput: 35534973 Time: 2.814129
Throughput: 35061158 Time: 2.852159
Throughput: 35756414 Time: 2.796701
Throughput: 35681649 Time: 2.802561
Throughput: 35548869 Time: 2.813029
Throughput: 36461924 Time: 2.742587
Throughput: 36390366 Time: 2.747980
Throughput: 36338410 Time: 2.751909
Throughput: 35964418 Time: 2.780526
Throughput: 36318799 Time: 2.753395
Throughput: 35978781 Time: 2.779416
Throughput: 36292239 Time: 2.755410
Throughput: 36275927 Time: 2.756649
Throughput: 36026026 Time: 2.775771
Throughput: 36051106 Time: 2.773840
Throughput: 36078094 Time: 2.771765
Throughput: 35615808 Time: 2.807742
Throughput: 36133472 Time: 2.767517
Throughput: 36189374 Time: 2.763242
Throughput: 36151081 Time: 2.766169
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 14717597 Time: 6.794587
Throughput: 11972282 Time: 8.352626
Throughput: 12072589 Time: 8.283227
Throughput: 12101116 Time: 8.263700
Throughput: 12080438 Time: 8.277845
Throughput: 12089237 Time: 8.271820
Throughput: 12145969 Time: 8.233184
Throughput: 12003202 Time: 8.331110
Throughput: 12066351 Time: 8.287509
Throughput: 12100087 Time: 8.264403
Throughput: 12050880 Time: 8.298149
Throughput: 12081080 Time: 8.277405
Throughput: 12142892 Time: 8.235270
Throughput: 12106414 Time: 8.260084
Throughput: 12066525 Time: 8.287390
Throughput: 12125549 Time: 8.247049
Throughput: 12078007 Time: 8.279511
Throughput: 12109412 Time: 8.258039
Throughput: 11945842 Time: 8.371113
Throughput: 11891665 Time: 8.409251
Throughput: 11917935 Time: 8.390715
Throughput: 11820701 Time: 8.459735
Throughput: 11895082 Time: 8.406835
Throughput: 11930521 Time: 8.381863
Throughput: 9969270 Time: 10.030824
Throughput: 8939030 Time: 11.186896
Throughput: 8892868 Time: 11.244965
Throughput: 9088206 Time: 11.003271
Throughput: 7992473 Time: 12.511772
Throughput: 6645234 Time: 15.048377
Throughput: 8444737 Time: 11.841694
Throughput: 15206403 Time: 6.576177
Throughput: 14441550 Time: 6.924464
Throughput: 12024380 Time: 8.316437
Throughput: 14371611 Time: 6.958162
Throughput: 12912412 Time: 7.744486
Throughput: 17023930 Time: 5.874084
Throughput: 16465214 Time: 6.073410
Throughput: 17087415 Time: 5.852260
Throughput: 17138856 Time: 5.834695
Throughput: 16781046 Time: 5.959104
Throughput: 16818147 Time: 5.945958
Throughput: 17112396 Time: 5.843717
Throughput: 17227668 Time: 5.804616
Throughput: 17095007 Time: 5.849661
Throughput: 17063300 Time: 5.860531
Throughput: 17060083 Time: 5.861636
Throughput: 17079818 Time: 5.854863
Throughput: 17031269 Time: 5.871553
Throughput: 17067531 Time: 5.859078
Throughput: 17050199 Time: 5.865034
Throughput: 17127205 Time: 5.838664
Throughput: 17082867 Time: 5.853818
Throughput: 16982821 Time: 5.888303
Throughput: 17244218 Time: 5.799045
Throughput: 17098462 Time: 5.848479
Throughput: 17166748 Time: 5.825215
Throughput: 16124756 Time: 6.201644
Throughput: 16465109 Time: 6.073449
Throughput: 16987146 Time: 5.886804
Throughput: 16838052 Time: 5.938929
Throughput: 17042600 Time: 5.867649
Throughput: 17256365 Time: 5.794963
Throughput: 17204099 Time: 5.812568
Throughput: 17218140 Time: 5.807828
Throughput: 17233125 Time: 5.802778
Throughput: 17155998 Time: 5.828865
Throughput: 17197460 Time: 5.814812
Throughput: 17180427 Time: 5.820577
Throughput: 17256809 Time: 5.794814
Throughput: 16404958 Time: 6.095718
Throughput: 17320204 Time: 5.773604
Throughput: 16959000 Time: 5.896574
Throughput: 17221438 Time: 5.806716
Throughput: 17187658 Time: 5.818128
Throughput: 17188444 Time: 5.817862
Throughput: 16999268 Time: 5.882606
Throughput: 17121088 Time: 5.840750
Throughput: 17309177 Time: 5.777282
Throughput: 17193250 Time: 5.816236
Throughput: 17276722 Time: 5.788135
Throughput: 17267336 Time: 5.791281
Throughput: 17280209 Time: 5.786967
Throughput: 17297958 Time: 5.781029
Throughput: 17327109 Time: 5.771303
Throughput: 17175080 Time: 5.822389
Throughput: 17016184 Time: 5.876758
Throughput: 17321419 Time: 5.773199
Throughput: 17290989 Time: 5.783359
Throughput: 17013955 Time: 5.877528
Throughput: 17184200 Time: 5.819299
Throughput: 17324984 Time: 5.772011
Throughput: 17314946 Time: 5.775357
Throughput: 17255016 Time: 5.795416
Throughput: 17306119 Time: 5.778303
Throughput: 17345740 Time: 5.765104
Throughput: 17208759 Time: 5.810994
Throughput: 17200590 Time: 5.813754
Throughput: 17270474 Time: 5.790229
Throughput: 17268118 Time: 5.791019
Throughput: 17387261 Time: 5.751337
Throughput: 17214302 Time: 5.809123
Throughput: 17261655 Time: 5.793187
Throughput: 17173995 Time: 5.822757
Throughput: 17217085 Time: 5.808184
Throughput: 17253918 Time: 5.795785
Throughput: 17252456 Time: 5.796276
Throughput: 17186501 Time: 5.818520
Throughput: 17203572 Time: 5.812746
Throughput: 17194269 Time: 5.815891
Throughput: 17321518 Time: 5.773166
Throughput: 16719849 Time: 5.980915
Throughput: 17246755 Time: 5.798192
Throughput: 17191116 Time: 5.816958
Throughput: 16989400 Time: 5.886023
Throughput: 17391246 Time: 5.750019
Throughput: 16985120 Time: 5.887506
Throughput: 17303804 Time: 5.779076
Throughput: 16924984 Time: 5.908425
Throughput: 17269597 Time: 5.790523
Throughput: 16834435 Time: 5.940205
Throughput: 16894902 Time: 5.918945
Throughput: 17065073 Time: 5.859922
Throughput: 17318593 Time: 5.774141
Throughput: 17294069 Time: 5.782329
Throughput: 17258018 Time: 5.794408
Throughput: 17291195 Time: 5.783290
Throughput: 17325806 Time: 5.771737
Throughput: 17273806 Time: 5.789112
Throughput: 17216391 Time: 5.808418
Throughput: 17342819 Time: 5.766075
Throughput: 17343683 Time: 5.765788
Throughput: 17408294 Time: 5.744388
Throughput: 17393064 Time: 5.749418
Throughput: 17284435 Time: 5.785552
Throughput: 17287199 Time: 5.784627
Throughput: 17261545 Time: 5.793224
Throughput: 17276399 Time: 5.788243
Throughput: 17343210 Time: 5.765945
Throughput: 17029404 Time: 5.872196
Throughput: 17259549 Time: 5.793894
Throughput: 17381827 Time: 5.753135
Throughput: 17334663 Time: 5.768788
Throughput: 17353356 Time: 5.762574
Throughput: 17331887 Time: 5.769712
Throughput: 17302370 Time: 5.779555
Throughput: 17410064 Time: 5.743804
Throughput: 17420322 Time: 5.740422
Throughput: 17325290 Time: 5.771909
Throughput: 17333942 Time: 5.769028
Throughput: 17287429 Time: 5.784550
Throughput: 16915032 Time: 5.911901
Throughput: 17354425 Time: 5.762219
Throughput: 17285863 Time: 5.785074
Throughput: 17375476 Time: 5.755238
Throughput: 17314677 Time: 5.775447
Throughput: 17280176 Time: 5.786978
Throughput: 17306481 Time: 5.778182
Throughput: 17307646 Time: 5.777793
Throughput: 17293749 Time: 5.782436
Throughput: 17342904 Time: 5.766047
Throughput: 17332314 Time: 5.769570
Throughput: 17350309 Time: 5.763586
Throughput: 17349559 Time: 5.763835
Throughput: 17289405 Time: 5.783889
Throughput: 17277301 Time: 5.787941
Throughput: 17283201 Time: 5.785965
Throughput: 17175664 Time: 5.822191
Throughput: 17317582 Time: 5.774478
Throughput: 17328280 Time: 5.770913
Throughput: 17334357 Time: 5.768890
Throughput: 17333332 Time: 5.769231
Throughput: 17290597 Time: 5.783490
Throughput: 17293360 Time: 5.782566
Throughput: 17317258 Time: 5.774586
Throughput: 17261059 Time: 5.793387
Throughput: 17348867 Time: 5.764065
Throughput: 17312407 Time: 5.776204
Throughput: 17325707 Time: 5.771770
Throughput: 17310480 Time: 5.776847
Throughput: 17399565 Time: 5.747270
Throughput: 17328409 Time: 5.770870
Throughput: 17269504 Time: 5.790554
Throughput: 17311487 Time: 5.776511
Throughput: 17282045 Time: 5.786352
Throughput: 17299975 Time: 5.780355
Throughput: 17261655 Time: 5.793187
Throughput: 17261694 Time: 5.793174
Throughput: 17341728 Time: 5.766438
Throughput: 17297099 Time: 5.781316
Throughput: 17300657 Time: 5.780127
Throughput: 17347449 Time: 5.764536
Throughput: 17419296 Time: 5.740760
Throughput: 17056501 Time: 5.862867
Throughput: 17309653 Time: 5.777123
Throughput: 17333840 Time: 5.769062
Throughput: 17299541 Time: 5.780500
Throughput: 17350751 Time: 5.763439
Throughput: 17379851 Time: 5.753789
Throughput: 17353392 Time: 5.762562
Throughput: 17310343 Time: 5.776893
Throughput: 17333512 Time: 5.769171
Throughput: 17258021 Time: 5.794407
Throughput: 17349120 Time: 5.763981
Throughput: 17284531 Time: 5.785520
Throughput: 17281791 Time: 5.786437
Throughput: 16881489 Time: 5.923648
Throughput: 17270706 Time: 5.790151
Throughput: 17243094 Time: 5.799423
Throughput: 17328773 Time: 5.770749
Throughput: 17296408 Time: 5.781547
Throughput: 17285767 Time: 5.785106
Throughput: 17283590 Time: 5.785835
Throughput: 17259591 Time: 5.793880
Throughput: 17353353 Time: 5.762575
Throughput: 17087845 Time: 5.852113
Throughput: 17363281 Time: 5.759280
Throughput: 17300415 Time: 5.780208
Throughput: 17332302 Time: 5.769574
Throughput: 17317942 Time: 5.774358
Throughput: 17336418 Time: 5.768204
Throughput: 17265497 Time: 5.791898
Throughput: 17335814 Time: 5.768405
Throughput: 17262123 Time: 5.793030
Throughput: 17352552 Time: 5.762841
Throughput: 17378441 Time: 5.754256
Throughput: 17283127 Time: 5.785990
Throughput: 17277301 Time: 5.787941
Throughput: 17289707 Time: 5.783788
Throughput: 17317720 Time: 5.774432
