SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f2e00000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 34369918 Time: 2.909521
Throughput: 35505198 Time: 2.816489
Throughput: 36190631 Time: 2.763146
Throughput: 36083640 Time: 2.771339
Throughput: 36394896 Time: 2.747638
Throughput: 36256843 Time: 2.758100
Throughput: 36180562 Time: 2.763915
Throughput: 36395995 Time: 2.747555
Throughput: 36298154 Time: 2.754961
Throughput: 36357078 Time: 2.750496
Throughput: 36151486 Time: 2.766138
Throughput: 36167450 Time: 2.764917
Throughput: 36427258 Time: 2.745197
Throughput: 36243072 Time: 2.759148
Throughput: 36249194 Time: 2.758682
Throughput: 36232947 Time: 2.759919
Throughput: 36208912 Time: 2.761751
Throughput: 36331255 Time: 2.752451
Throughput: 36263614 Time: 2.757585
Throughput: 36189833 Time: 2.763207
Throughput: 36193736 Time: 2.762909
Throughput: 36421142 Time: 2.745658
Throughput: 36212229 Time: 2.761498
Throughput: 36383521 Time: 2.748497
Throughput: 36201126 Time: 2.762345
Throughput: 36230991 Time: 2.760068
Throughput: 36179410 Time: 2.764003
Throughput: 36422587 Time: 2.745549
Throughput: 36197575 Time: 2.762616
Throughput: 36193683 Time: 2.762913
Throughput: 36411553 Time: 2.746381
Throughput: 36215613 Time: 2.761240
Throughput: 36120642 Time: 2.768500
Throughput: 36414802 Time: 2.746136
Throughput: 35849271 Time: 2.789457
Throughput: 36048675 Time: 2.774027
Throughput: 36219312 Time: 2.760958
Throughput: 35738498 Time: 2.798103
Throughput: 36211023 Time: 2.761590
Throughput: 35758831 Time: 2.796512
Throughput: 35653191 Time: 2.804798
Throughput: 35674674 Time: 2.803109
Throughput: 36024936 Time: 2.775855
Throughput: 36267297 Time: 2.757305
Throughput: 36403706 Time: 2.746973
Throughput: 36335202 Time: 2.752152
Throughput: 35471546 Time: 2.819161
Throughput: 35962879 Time: 2.780645
Throughput: 36268112 Time: 2.757243
Throughput: 36238961 Time: 2.759461
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 15678057 Time: 6.378341
Throughput: 11929687 Time: 8.382449
Throughput: 12077911 Time: 8.279577
Throughput: 12070808 Time: 8.284449
Throughput: 12077542 Time: 8.279830
Throughput: 12089575 Time: 8.271589
Throughput: 12066929 Time: 8.287112
Throughput: 12032244 Time: 8.311001
Throughput: 11952785 Time: 8.366251
Throughput: 12010057 Time: 8.326355
Throughput: 11856631 Time: 8.434099
Throughput: 11914929 Time: 8.392832
Throughput: 11996519 Time: 8.335751
Throughput: 11967434 Time: 8.356010
Throughput: 12112653 Time: 8.255829
Throughput: 12063580 Time: 8.289413
Throughput: 12009170 Time: 8.326970
Throughput: 12128961 Time: 8.244729
Throughput: 12103741 Time: 8.261908
Throughput: 11977369 Time: 8.349079
Throughput: 11881909 Time: 8.416156
Throughput: 11869674 Time: 8.424831
Throughput: 11787202 Time: 8.483777
Throughput: 11834997 Time: 8.449516
Throughput: 11433246 Time: 8.746422
Throughput: 9196339 Time: 10.873892
Throughput: 9071194 Time: 11.023906
Throughput: 9441428 Time: 10.591618
Throughput: 8821090 Time: 11.336467
Throughput: 9643739 Time: 10.369422
Throughput: 10000183 Time: 9.999817
Throughput: 6533332 Time: 15.306125
Throughput: 10116042 Time: 9.885289
Throughput: 16329001 Time: 6.124073
Throughput: 19160097 Time: 5.219180
Throughput: 22995150 Time: 4.348743
Throughput: 23124237 Time: 4.324467
Throughput: 23165779 Time: 4.316712
Throughput: 23226634 Time: 4.305402
Throughput: 22610852 Time: 4.422655
Throughput: 23221953 Time: 4.306270
Throughput: 22817588 Time: 4.382584
Throughput: 23216771 Time: 4.307231
Throughput: 23066470 Time: 4.335297
Throughput: 22728760 Time: 4.399712
Throughput: 22449223 Time: 4.454497
Throughput: 22881258 Time: 4.370389
Throughput: 23096805 Time: 4.329603
Throughput: 23108104 Time: 4.327486
Throughput: 23172151 Time: 4.315525
Throughput: 22138553 Time: 4.517007
Throughput: 23014498 Time: 4.345087
Throughput: 22870703 Time: 4.372406
Throughput: 22132570 Time: 4.518228
Throughput: 22661564 Time: 4.412758
Throughput: 22564144 Time: 4.431810
Throughput: 22813814 Time: 4.383309
Throughput: 23076956 Time: 4.333327
Throughput: 22560341 Time: 4.432557
Throughput: 23097536 Time: 4.329466
Throughput: 23065017 Time: 4.335570
Throughput: 22987839 Time: 4.350126
Throughput: 22570388 Time: 4.430584
Throughput: 22623692 Time: 4.420145
Throughput: 23132490 Time: 4.322924
Throughput: 21499564 Time: 4.651257
Throughput: 22428821 Time: 4.458549
Throughput: 23311425 Time: 4.289742
Throughput: 22835340 Time: 4.379177
Throughput: 23156301 Time: 4.318479
Throughput: 22535485 Time: 4.437446
Throughput: 23492553 Time: 4.256668
Throughput: 23322179 Time: 4.287764
Throughput: 23238687 Time: 4.303169
Throughput: 23088108 Time: 4.331234
Throughput: 22766104 Time: 4.392495
Throughput: 23123985 Time: 4.324514
Throughput: 23103689 Time: 4.328313
Throughput: 22946737 Time: 4.357918
Throughput: 23166096 Time: 4.316653
Throughput: 23327728 Time: 4.286744
Throughput: 23460361 Time: 4.262509
Throughput: 22883939 Time: 4.369877
Throughput: 23206955 Time: 4.309053
Throughput: 23265520 Time: 4.298206
Throughput: 23287680 Time: 4.294116
Throughput: 23340970 Time: 4.284312
Throughput: 23142807 Time: 4.320997
Throughput: 22993342 Time: 4.349085
Throughput: 23270858 Time: 4.297220
Throughput: 22534495 Time: 4.437641
Throughput: 22867596 Time: 4.373000
Throughput: 23280821 Time: 4.295381
Throughput: 23287186 Time: 4.294207
Throughput: 23109156 Time: 4.327289
Throughput: 23208393 Time: 4.308786
Throughput: 22854452 Time: 4.375515
Throughput: 23339641 Time: 4.284556
Throughput: 23404059 Time: 4.272763
Throughput: 23082283 Time: 4.332327
Throughput: 23199369 Time: 4.310462
Throughput: 23300328 Time: 4.291785
Throughput: 23357762 Time: 4.281232
Throughput: 23362351 Time: 4.280391
Throughput: 23326710 Time: 4.286931
Throughput: 23076200 Time: 4.333469
Throughput: 23482761 Time: 4.258443
Throughput: 23238547 Time: 4.303195
Throughput: 23387009 Time: 4.275878
Throughput: 23530967 Time: 4.249719
Throughput: 22076756 Time: 4.529651
Throughput: 23307078 Time: 4.290542
Throughput: 23270810 Time: 4.297229
Throughput: 23407395 Time: 4.272154
Throughput: 23177640 Time: 4.314503
Throughput: 23156386 Time: 4.318463
Throughput: 23129558 Time: 4.323472
Throughput: 23174589 Time: 4.315071
Throughput: 23373103 Time: 4.278422
Throughput: 23314887 Time: 4.289105
Throughput: 23243057 Time: 4.302360
Throughput: 23391265 Time: 4.275100
Throughput: 23369563 Time: 4.279070
Throughput: 23485253 Time: 4.257991
Throughput: 23467749 Time: 4.261167
Throughput: 23314093 Time: 4.289251
Throughput: 22915854 Time: 4.363791
Throughput: 23278334 Time: 4.295840
Throughput: 23370754 Time: 4.278852
Throughput: 23140300 Time: 4.321465
Throughput: 23182976 Time: 4.313510
Throughput: 23417202 Time: 4.270365
Throughput: 23288992 Time: 4.293874
Throughput: 23311805 Time: 4.289672
Throughput: 23418446 Time: 4.270138
Throughput: 23188626 Time: 4.312459
Throughput: 23188034 Time: 4.312569
Throughput: 22961922 Time: 4.355036
Throughput: 23405297 Time: 4.272537
Throughput: 23286042 Time: 4.294418
Throughput: 23140841 Time: 4.321364
Throughput: 23356556 Time: 4.281453
Throughput: 23464219 Time: 4.261808
Throughput: 22988542 Time: 4.349993
Throughput: 22940573 Time: 4.359089
Throughput: 23219726 Time: 4.306683
Throughput: 23345258 Time: 4.283525
Throughput: 22999418 Time: 4.347936
Throughput: 23258972 Time: 4.299416
Throughput: 23295383 Time: 4.292696
Throughput: 23538699 Time: 4.248323
Throughput: 23284985 Time: 4.294613
Throughput: 22894139 Time: 4.367930
Throughput: 22917776 Time: 4.363425
Throughput: 23431462 Time: 4.267766
Throughput: 23444405 Time: 4.265410
Throughput: 23434955 Time: 4.267130
Throughput: 23405220 Time: 4.272551
Throughput: 22843306 Time: 4.377650
Throughput: 23328784 Time: 4.286550
Throughput: 23467821 Time: 4.261154
Throughput: 23560078 Time: 4.244468
Throughput: 23387687 Time: 4.275754
Throughput: 23369318 Time: 4.279115
Throughput: 23497963 Time: 4.255688
Throughput: 23514500 Time: 4.252695
Throughput: 23466609 Time: 4.261374
Throughput: 23439690 Time: 4.266268
Throughput: 23486936 Time: 4.257686
Throughput: 23447291 Time: 4.264885
Throughput: 23162887 Time: 4.317251
Throughput: 23425677 Time: 4.268820
Throughput: 22650980 Time: 4.414820
Throughput: 23406300 Time: 4.272354
Throughput: 23302570 Time: 4.291372
Throughput: 23476327 Time: 4.259610
Throughput: 23307562 Time: 4.290453
Throughput: 22931677 Time: 4.360780
Throughput: 23070780 Time: 4.334487
Throughput: 23500956 Time: 4.255146
Throughput: 23479954 Time: 4.258952
Throughput: 23462386 Time: 4.262141
Throughput: 23376611 Time: 4.277780
Throughput: 23434109 Time: 4.267284
Throughput: 23425199 Time: 4.268907
Throughput: 23411938 Time: 4.271325
Throughput: 23414921 Time: 4.270781
Throughput: 23413643 Time: 4.271014
Throughput: 23403928 Time: 4.272787
Throughput: 23421562 Time: 4.269570
Throughput: 23450815 Time: 4.264244
Throughput: 23409395 Time: 4.271789
Throughput: 23349717 Time: 4.282707
Throughput: 23447505 Time: 4.264846
Throughput: 22787441 Time: 4.388382
Throughput: 23395725 Time: 4.274285
Throughput: 23373961 Time: 4.278265
Throughput: 23432698 Time: 4.267541
Throughput: 23432291 Time: 4.267615
Throughput: 23422725 Time: 4.269358
Throughput: 23343667 Time: 4.283817
Throughput: 23438942 Time: 4.266404
Throughput: 23327478 Time: 4.286790
Throughput: 23469120 Time: 4.260918
Throughput: 23212735 Time: 4.307980
Throughput: 23409911 Time: 4.271695
Throughput: 23337413 Time: 4.284965
Throughput: 23436586 Time: 4.266833
Throughput: 23298238 Time: 4.292170
Throughput: 23425474 Time: 4.268857
Throughput: 22964960 Time: 4.354460
Throughput: 23444190 Time: 4.265449
Throughput: 23351767 Time: 4.282331
Throughput: 23406886 Time: 4.272247
Throughput: 23452647 Time: 4.263911
Throughput: 23431605 Time: 4.267740
Throughput: 23325236 Time: 4.287202
Throughput: 23515308 Time: 4.252549
Throughput: 23382252 Time: 4.276748
Throughput: 23466108 Time: 4.261465
Throughput: 23339532 Time: 4.284576
Throughput: 23479061 Time: 4.259114
Throughput: 23307616 Time: 4.290443
Throughput: 23432412 Time: 4.267593
Throughput: 23438289 Time: 4.266523
Throughput: 23501668 Time: 4.255017
Throughput: 23255127 Time: 4.300127
Throughput: 23423531 Time: 4.269211
Throughput: 23313023 Time: 4.289448
Throughput: 23410749 Time: 4.271542
Throughput: 23320509 Time: 4.288071
Throughput: 23484150 Time: 4.258191
Throughput: 23440629 Time: 4.266097
Throughput: 23377261 Time: 4.277661
Throughput: 23332708 Time: 4.285829
Throughput: 23505093 Time: 4.254397
Throughput: 22949333 Time: 4.357425
Throughput: 22511728 Time: 4.442129
Throughput: 23394045 Time: 4.274592
Throughput: 23108852 Time: 4.327346
Throughput: 23494126 Time: 4.256383
Throughput: 23400883 Time: 4.273343
Throughput: 23134476 Time: 4.322553
Throughput: 23298048 Time: 4.292205
Throughput: 23397231 Time: 4.274010
Throughput: 23232781 Time: 4.304263
Throughput: 23388070 Time: 4.275684
Throughput: 23408036 Time: 4.272037
Throughput: 23443877 Time: 4.265506
Throughput: 23368286 Time: 4.279304
Throughput: 22977054 Time: 4.352168
Throughput: 23433395 Time: 4.267414
Throughput: 23527219 Time: 4.250396
Throughput: 23631460 Time: 4.231647
Throughput: 23386232 Time: 4.276020
Throughput: 23478096 Time: 4.259289
Throughput: 23257057 Time: 4.299770
Throughput: 23414498 Time: 4.270858
Throughput: 23248044 Time: 4.301437
Throughput: 23422039 Time: 4.269483
Throughput: 23485717 Time: 4.257907
