SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f7a00000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 34305117 Time: 2.915017
Throughput: 36459079 Time: 2.742801
Throughput: 34839187 Time: 2.870331
Throughput: 36084734 Time: 2.771255
Throughput: 36463067 Time: 2.742501
Throughput: 36061740 Time: 2.773022
Throughput: 36407258 Time: 2.746705
Throughput: 36592974 Time: 2.732765
Throughput: 36106336 Time: 2.769597
Throughput: 36315620 Time: 2.753636
Throughput: 35063211 Time: 2.851992
Throughput: 36433469 Time: 2.744729
Throughput: 36556294 Time: 2.735507
Throughput: 36250442 Time: 2.758587
Throughput: 35484724 Time: 2.818114
Throughput: 36099467 Time: 2.770124
Throughput: 35979972 Time: 2.779324
Throughput: 35961275 Time: 2.780769
Throughput: 36155407 Time: 2.765838
Throughput: 35480570 Time: 2.818444
Throughput: 36095909 Time: 2.770397
Throughput: 36739825 Time: 2.721842
Throughput: 36139009 Time: 2.767093
Throughput: 36544992 Time: 2.736353
Throughput: 36606745 Time: 2.731737
Throughput: 36560558 Time: 2.735188
Throughput: 36694769 Time: 2.725184
Throughput: 36647702 Time: 2.728684
Throughput: 36586360 Time: 2.733259
Throughput: 36762097 Time: 2.720193
Throughput: 36534124 Time: 2.737167
Throughput: 36584727 Time: 2.733381
Throughput: 36023041 Time: 2.776001
Throughput: 36505183 Time: 2.739337
Throughput: 36767084 Time: 2.719824
Throughput: 36548719 Time: 2.736074
Throughput: 34713266 Time: 2.880743
Throughput: 36498068 Time: 2.739871
Throughput: 35057877 Time: 2.852426
Throughput: 36725469 Time: 2.722906
Throughput: 36498814 Time: 2.739815
Throughput: 36445114 Time: 2.743852
Throughput: 36747345 Time: 2.721285
Throughput: 36677986 Time: 2.726431
Throughput: 36101252 Time: 2.769987
Throughput: 36117472 Time: 2.768743
Throughput: 36037152 Time: 2.774914
Throughput: 36379061 Time: 2.748834
Throughput: 36891139 Time: 2.710678
Throughput: 35251285 Time: 2.836776
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 14950089 Time: 6.688923
Throughput: 12041453 Time: 8.304645
Throughput: 11963126 Time: 8.359019
Throughput: 12038637 Time: 8.306588
Throughput: 11930688 Time: 8.381746
Throughput: 11963308 Time: 8.358892
Throughput: 11956736 Time: 8.363486
Throughput: 11836399 Time: 8.448515
Throughput: 12038790 Time: 8.306482
Throughput: 11964075 Time: 8.358356
Throughput: 11685130 Time: 8.557885
Throughput: 11839692 Time: 8.446165
Throughput: 11887171 Time: 8.412430
Throughput: 11755242 Time: 8.506843
Throughput: 11802270 Time: 8.472946
Throughput: 11451562 Time: 8.732433
Throughput: 11575877 Time: 8.638654
Throughput: 11676447 Time: 8.564249
Throughput: 11592990 Time: 8.625902
Throughput: 10814898 Time: 9.246504
Throughput: 9394604 Time: 10.644408
Throughput: 9394572 Time: 10.644444
Throughput: 8777666 Time: 11.392550
Throughput: 8692260 Time: 11.504487
Throughput: 6109705 Time: 16.367400
Throughput: 12477258 Time: 8.014581
Throughput: 15644364 Time: 6.392078
Throughput: 17966507 Time: 5.565912
Throughput: 18211131 Time: 5.491147
Throughput: 15059442 Time: 6.640352
Throughput: 14990591 Time: 6.670851
Throughput: 14880079 Time: 6.720394
Throughput: 14867043 Time: 6.726287
Throughput: 15543706 Time: 6.433472
Throughput: 15075032 Time: 6.633485
Throughput: 17579821 Time: 5.688340
Throughput: 19307919 Time: 5.179222
Throughput: 17131583 Time: 5.837172
Throughput: 19392890 Time: 5.156529
Throughput: 16140929 Time: 6.195430
Throughput: 16689394 Time: 5.991829
Throughput: 20719187 Time: 4.826444
Throughput: 20392149 Time: 4.903848
Throughput: 20797998 Time: 4.808155
Throughput: 20527726 Time: 4.871460
Throughput: 20980432 Time: 4.766346
Throughput: 20407417 Time: 4.900179
Throughput: 19993262 Time: 5.001685
Throughput: 21103488 Time: 4.738553
