SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f4000000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 33976566 Time: 2.943205
Throughput: 35442228 Time: 2.821493
Throughput: 35578768 Time: 2.810665
Throughput: 35912135 Time: 2.784574
Throughput: 35719286 Time: 2.799608
Throughput: 34759866 Time: 2.876881
Throughput: 35903355 Time: 2.785255
Throughput: 35450659 Time: 2.820822
Throughput: 35305947 Time: 2.832384
Throughput: 34943470 Time: 2.861765
Throughput: 35878378 Time: 2.787194
Throughput: 35456177 Time: 2.820383
Throughput: 35208056 Time: 2.840259
Throughput: 35501303 Time: 2.816798
Throughput: 35638198 Time: 2.805978
Throughput: 35476730 Time: 2.818749
Throughput: 35787163 Time: 2.794298
Throughput: 35718533 Time: 2.799667
Throughput: 35314487 Time: 2.831699
Throughput: 35529418 Time: 2.814569
Throughput: 35891834 Time: 2.786149
Throughput: 35582212 Time: 2.810393
Throughput: 35540631 Time: 2.813681
Throughput: 34256148 Time: 2.919184
Throughput: 35628218 Time: 2.806764
Throughput: 34978084 Time: 2.858933
Throughput: 35451953 Time: 2.820719
Throughput: 35329659 Time: 2.830483
Throughput: 34611812 Time: 2.889187
Throughput: 35027729 Time: 2.854881
Throughput: 35074304 Time: 2.851090
Throughput: 34989711 Time: 2.857983
Throughput: 35468602 Time: 2.819395
Throughput: 35675984 Time: 2.803006
Throughput: 35746598 Time: 2.797469
Throughput: 35440507 Time: 2.821630
Throughput: 34428978 Time: 2.904530
Throughput: 35646887 Time: 2.805294
Throughput: 35170276 Time: 2.843310
Throughput: 35520798 Time: 2.815252
Throughput: 35731130 Time: 2.798680
Throughput: 35544004 Time: 2.813414
Throughput: 35463646 Time: 2.819789
Throughput: 34576508 Time: 2.892137
Throughput: 35587619 Time: 2.809966
Throughput: 35359078 Time: 2.828128
Throughput: 34607201 Time: 2.889572
Throughput: 35576262 Time: 2.810863
Throughput: 35448812 Time: 2.820969
Throughput: 35425868 Time: 2.822796
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 15758769 Time: 6.345673
Throughput: 12015935 Time: 8.322282
Throughput: 12117776 Time: 8.252339
Throughput: 12101505 Time: 8.263435
Throughput: 12205027 Time: 8.193345
Throughput: 12104343 Time: 8.261497
Throughput: 12188945 Time: 8.204155
Throughput: 12188650 Time: 8.204354
Throughput: 12144006 Time: 8.234515
Throughput: 12176788 Time: 8.212346
Throughput: 12199583 Time: 8.197001
Throughput: 12204617 Time: 8.193620
Throughput: 11849826 Time: 8.438942
Throughput: 11823844 Time: 8.457486
Throughput: 11818482 Time: 8.461323
Throughput: 11698545 Time: 8.548071
Throughput: 11772076 Time: 8.494678
Throughput: 11793815 Time: 8.479020
Throughput: 9094763 Time: 10.995338
Throughput: 7842167 Time: 12.751577
Throughput: 8334623 Time: 11.998143
Throughput: 7138198 Time: 14.009137
Throughput: 9521133 Time: 10.502951
Throughput: 19695425 Time: 5.077321
Throughput: 19743024 Time: 5.065080
Throughput: 20035848 Time: 4.991054
Throughput: 20368320 Time: 4.909585
Throughput: 20798283 Time: 4.808089
Throughput: 21403385 Time: 4.672158
Throughput: 21780703 Time: 4.591220
Throughput: 25233905 Time: 3.962922
Throughput: 30236884 Time: 3.307219
Throughput: 30205986 Time: 3.310602
Throughput: 30162427 Time: 3.315383
Throughput: 30305463 Time: 3.299735
Throughput: 30399340 Time: 3.289545
Throughput: 30179805 Time: 3.313474
Throughput: 29721047 Time: 3.364619
Throughput: 30244822 Time: 3.306351
Throughput: 30255739 Time: 3.305158
Throughput: 29790480 Time: 3.356777
Throughput: 30119982 Time: 3.320055
Throughput: 30055563 Time: 3.327171
Throughput: 30285473 Time: 3.301913
Throughput: 30147787 Time: 3.316993
Throughput: 30430228 Time: 3.286206
Throughput: 30310975 Time: 3.299135
Throughput: 30313584 Time: 3.298851
Throughput: 30258293 Time: 3.304879
Throughput: 30326675 Time: 3.297427
Throughput: 29535945 Time: 3.385705
Throughput: 30186847 Time: 3.312701
Throughput: 30266417 Time: 3.303992
Throughput: 30205028 Time: 3.310707
Throughput: 30347954 Time: 3.295115
Throughput: 30377796 Time: 3.291878
Throughput: 30174723 Time: 3.314032
Throughput: 32420838 Time: 3.084436
Throughput: 30958582 Time: 3.230122
Throughput: 27043443 Time: 3.697754
Throughput: 29065027 Time: 3.440561
Throughput: 31485432 Time: 3.176072
Throughput: 31359857 Time: 3.188790
Throughput: 36075999 Time: 2.771926
Throughput: 35783846 Time: 2.794557
Throughput: 35808385 Time: 2.792642
Throughput: 35931711 Time: 2.783057
Throughput: 34206804 Time: 2.923395
Throughput: 35842075 Time: 2.790017
Throughput: 35857909 Time: 2.788785
Throughput: 35816349 Time: 2.792021
Throughput: 35743633 Time: 2.797701
Throughput: 35888022 Time: 2.786445
Throughput: 35800001 Time: 2.793296
Throughput: 35723331 Time: 2.799291
Throughput: 35822739 Time: 2.791523
Throughput: 35694781 Time: 2.801530
Throughput: 35701904 Time: 2.800971
Throughput: 35396150 Time: 2.825166
Throughput: 35808487 Time: 2.792634
Throughput: 35900416 Time: 2.785483
Throughput: 35920391 Time: 2.783934
Throughput: 35871042 Time: 2.787764
Throughput: 35834882 Time: 2.790577
Throughput: 35824689 Time: 2.791371
Throughput: 34294281 Time: 2.915938
Throughput: 35865214 Time: 2.788217
Throughput: 35882935 Time: 2.786840
Throughput: 35790647 Time: 2.794026
Throughput: 35324966 Time: 2.830859
Throughput: 35819582 Time: 2.791769
Throughput: 35989580 Time: 2.778582
Throughput: 35645197 Time: 2.805427
Throughput: 35835627 Time: 2.790519
Throughput: 35940673 Time: 2.782363
Throughput: 35875018 Time: 2.787455
Throughput: 35830786 Time: 2.790896
Throughput: 35776268 Time: 2.795149
Throughput: 36010458 Time: 2.776971
Throughput: 35552900 Time: 2.812710
Throughput: 35824407 Time: 2.791393
Throughput: 35970278 Time: 2.780073
Throughput: 35831416 Time: 2.790847
Throughput: 35827423 Time: 2.791158
Throughput: 35881982 Time: 2.786914
Throughput: 35906552 Time: 2.785007
Throughput: 35797758 Time: 2.793471
Throughput: 35753895 Time: 2.796898
Throughput: 35943127 Time: 2.782173
Throughput: 35868739 Time: 2.787943
Throughput: 35882510 Time: 2.786873
Throughput: 35842383 Time: 2.789993
Throughput: 35851520 Time: 2.789282
Throughput: 35850491 Time: 2.789362
Throughput: 35808320 Time: 2.792647
Throughput: 35819184 Time: 2.791800
Throughput: 35880515 Time: 2.787028
Throughput: 35977007 Time: 2.779553
Throughput: 36109921 Time: 2.769322
Throughput: 35710128 Time: 2.800326
Throughput: 35387807 Time: 2.825832
Throughput: 35150200 Time: 2.844934
Throughput: 35791518 Time: 2.793958
Throughput: 35992196 Time: 2.778380
Throughput: 35429483 Time: 2.822508
Throughput: 35964146 Time: 2.780547
Throughput: 35812822 Time: 2.792296
Throughput: 35802577 Time: 2.793095
Throughput: 35741500 Time: 2.797868
Throughput: 35919295 Time: 2.784019
Throughput: 35914625 Time: 2.784381
Throughput: 35755225 Time: 2.796794
Throughput: 35873075 Time: 2.787606
Throughput: 35797617 Time: 2.793482
Throughput: 35914315 Time: 2.784405
Throughput: 35869125 Time: 2.787913
Throughput: 35938710 Time: 2.782515
Throughput: 35858500 Time: 2.788739
Throughput: 35875005 Time: 2.787456
Throughput: 35767144 Time: 2.795862
Throughput: 35927592 Time: 2.783376
Throughput: 35852728 Time: 2.789188
Throughput: 35745358 Time: 2.797566
Throughput: 35841047 Time: 2.790097
Throughput: 35845634 Time: 2.789740
Throughput: 35865651 Time: 2.788183
Throughput: 35974276 Time: 2.779764
Throughput: 35542059 Time: 2.813568
Throughput: 35602962 Time: 2.808755
Throughput: 35646773 Time: 2.805303
Throughput: 33147585 Time: 3.016811
Throughput: 35768167 Time: 2.795782
Throughput: 35745409 Time: 2.797562
Throughput: 35273940 Time: 2.834954
Throughput: 35302145 Time: 2.832689
Throughput: 35330071 Time: 2.830450
Throughput: 35397177 Time: 2.825084
Throughput: 33094019 Time: 3.021694
Throughput: 35092521 Time: 2.849610
Throughput: 35488414 Time: 2.817821
Throughput: 35269300 Time: 2.835327
Throughput: 35483327 Time: 2.818225
Throughput: 35031349 Time: 2.854586
Throughput: 35136170 Time: 2.846070
Throughput: 35691557 Time: 2.801783
Throughput: 35567620 Time: 2.811546
Throughput: 33985226 Time: 2.942455
Throughput: 35863657 Time: 2.788338
