SLABS INIT: 20 GB, prealloc=0
=====================================
Populate the database
Elms array 0x7f1200000000
Populated 167772160 / 167772160 key-value pairs:
=====================================
signalling readyness to /tmp/alloctest-bench.ready
Throughput: 33653037 Time: 2.971500
Throughput: 35154463 Time: 2.844589
Throughput: 35704964 Time: 2.800731
Throughput: 35554215 Time: 2.812606
Throughput: 35494410 Time: 2.817345
Throughput: 35182155 Time: 2.842350
Throughput: 35206618 Time: 2.840375
Throughput: 35524016 Time: 2.814997
Throughput: 34619685 Time: 2.888530
Throughput: 34793476 Time: 2.874102
Throughput: 34903831 Time: 2.865015
Throughput: 34717340 Time: 2.880405
Throughput: 35410601 Time: 2.824013
Throughput: 34729240 Time: 2.879418
Throughput: 34239246 Time: 2.920625
Throughput: 34044998 Time: 2.937289
Throughput: 34896888 Time: 2.865585
Throughput: 35069950 Time: 2.851444
Throughput: 34590944 Time: 2.890930
Throughput: 35391865 Time: 2.825508
Throughput: 35467709 Time: 2.819466
Throughput: 35454467 Time: 2.820519
Throughput: 35074464 Time: 2.851077
Throughput: 35185894 Time: 2.842048
Throughput: 35350478 Time: 2.828816
Throughput: 35463193 Time: 2.819825
Throughput: 35347042 Time: 2.829091
Throughput: 35612370 Time: 2.808013
Throughput: 35279018 Time: 2.834546
Throughput: 35314188 Time: 2.831723
Throughput: 34873960 Time: 2.867469
Throughput: 34911276 Time: 2.864404
Throughput: 35447819 Time: 2.821048
Throughput: 34885408 Time: 2.866528
Throughput: 35907506 Time: 2.784933
Throughput: 35183863 Time: 2.842212
Throughput: 35348154 Time: 2.829002
Throughput: 35490732 Time: 2.817637
Throughput: 35645642 Time: 2.805392
Throughput: 35028502 Time: 2.854818
Throughput: 35481891 Time: 2.818339
Throughput: 35171241 Time: 2.843232
Throughput: 34898435 Time: 2.865458
Throughput: 35222578 Time: 2.839088
Throughput: 35861239 Time: 2.788526
Throughput: 35344543 Time: 2.829291
Throughput: 35298033 Time: 2.833019
Throughput: 35415267 Time: 2.823641
Throughput: 35357415 Time: 2.828261
Throughput: 35362367 Time: 2.827865
signalling readyness to /tmp/alloctest-bench.migrate
Throughput: 23783118 Time: 4.204663
Throughput: 18177465 Time: 5.501317
Throughput: 17924198 Time: 5.579050
Throughput: 18157309 Time: 5.507424
Throughput: 17941432 Time: 5.573691
Throughput: 18059453 Time: 5.537266
Throughput: 18091865 Time: 5.527346
Throughput: 18041240 Time: 5.542856
Throughput: 18051756 Time: 5.539627
Throughput: 17970113 Time: 5.564795
Throughput: 17960976 Time: 5.567626
Throughput: 17964348 Time: 5.566581
Throughput: 18090480 Time: 5.527769
Throughput: 17938094 Time: 5.574728
Throughput: 17735697 Time: 5.638346
Throughput: 17359230 Time: 5.760624
Throughput: 17842836 Time: 5.604490
Throughput: 17839367 Time: 5.605580
Throughput: 17534188 Time: 5.703144
Throughput: 17565801 Time: 5.692880
Throughput: 17833589 Time: 5.607396
Throughput: 17828954 Time: 5.608854
Throughput: 17862734 Time: 5.598247
Throughput: 17948752 Time: 5.571418
Throughput: 17787947 Time: 5.621784
Throughput: 17900240 Time: 5.586517
Throughput: 17886975 Time: 5.590660
Throughput: 17850311 Time: 5.602143
Throughput: 17933108 Time: 5.576278
