Workload	Configuration	Time
GUPS	LL	260
GUPS	RL	353
GUPS	RLI	538
GUPS	LR	350
GUPS	LRI	545
GUPS	RR	437
GUPS	RRI	792
GUPS	RRIE	535
GUPS	RRIG	548
GUPS	RRIM	255
GUPS	TLL	79
GUPS	TRRI	81
GUPS	TRRIE	82
GUPS	TRRIG	80
GUPS	TRRIM	79
GUPS	TFLL	194
GUPS	TFRRI	471
GUPS	TFRRIE	417
GUPS	TFRRIG	290
GUPS	TFRRIM	196
BTree	LL	417
BTree	RL	538
BTree	RLI	731
BTree	LR	533
BTree	LRI	732
BTree	RR	647
BTree	RRI	1060
BTree	RRIE	733
BTree	RRIG	730
BTree	RRIM	418
BTree	TFLL	311
BTree	TFRRI	574
BTree	TFRRIE	495
BTree	TFRRIG	369
BTree	TFRRIM	314
Redis	LL	388
Redis	LL	395
Redis	RL	475
Redis	RLI	612
Redis	LR	470
Redis	LRI	614
Redis	RR	563
Redis	RRI	832
Redis	RRI	843
Redis	RRIE	621
Redis	RRIG	608
Redis	RRIM	383
Redis	TLL	282
Redis	TRRI	450
Redis	TRRIE	468
Redis	TRRIG	298
Redis	TRRIM	298
XSBench	LL	193
XSBench	LL	193
XSBench	LL	195
XSBench	RL	218
XSBench	RLI	266
XSBench	LR	219
XSBench	LRI	274
XSBench	RR	243
XSBench	RRI	345
XSBench	RRIE	274
XSBench	RRIG	271
XSBench	RRIM	201
XSBench	TLL	117
XSBench	TRRI	121
XSBench	TRRIE	121
XSBench	TRRIG	119
XSBench	TRRIM	120
XSBench	TRRIM	119
XSBench	TRRIM	119
XSBench	F	782
XSBench	F	773
XSBench	FM	482
XSBench	FA	763
XSBench	FAM	559
XSBench	I	474
XSBench	IM	404
XSBench	TF	617
XSBench	TF	616
XSBench	TFM	630
XSBench	TFA	536
XSBench	TFAM	526
XSBench	TI	231
XSBench	TIM	228
XSBench	OF	685
XSBench	OFMP	587
XSBench	OFMF	586
XSBench	TOF	622
XSBench	TOFMP	618
XSBench	TOFMF	625
Canneal	LL	277
Canneal	RL	339
Canneal	RLI	454
Canneal	LR	340
Canneal	LRI	455
Canneal	RR	394
Canneal	RRI	628
Canneal	RRIE	453
Canneal	RRIG	462
Canneal	RRIM	278
Canneal	TLL	165
Canneal	TRRI	223
Canneal	TRRIE	220
Canneal	TRRIG	165
Canneal	TRRIM	165
Canneal	TFLL	171
Canneal	TFRRI	415
Canneal	TFRRIE	387
Canneal	TFRRIG	273
Canneal	TFRRIM	175
Canneal	F	4504
Canneal	FM	3548
Canneal	FA	6003
Canneal	FAM	5311
Canneal	I	3742
Canneal	IM	3234
Canneal	TF	2586
Canneal	TF	3268
Canneal	TF	2513
Canneal	TFM	2753
Canneal	TFM	2627
Canneal	TFA	3731
Canneal	TFAM	3317
Canneal	TI	2318
Canneal	TI	2330
Canneal	TIM	2221
Canneal	OF	4269
Canneal	OFMP	3586
Canneal	OFMF	3569
Canneal	TOF	2508
Canneal	TOFMP	2508
Canneal	TOFMF	2475
Memcached	LL	366
Memcached	LL	371
Memcached	RL	458
Memcached	RLI	617
Memcached	LR	463
Memcached	LRI	620
Memcached	RR	568
Memcached	RRI	886
Memcached	RRI	905
Memcached	RRIE	625
Memcached	RRIG	608
Memcached	RRIM	373
Memcached	F	2201
Memcached	FM	1932
Memcached	FA	2217
Memcached	FAM	1934
Memcached	I	2273
Memcached	IM	1945
Memcached	OF	2165
Memcached	OFMP	1868
Memcached	OFMF	1835
Graph500	LL	1185
Graph500	RL	1187
Graph500	RLI	1212
Graph500	LR	1194
Graph500	LRI	1209
Graph500	RR	1203
Graph500	RRI	1216
Graph500	RRIE	1201
Graph500	RRIG	1192
Graph500	RRIM	1172
Graph500	F	930
Graph500	FM	700
Graph500	FA	708
Graph500	FAM	671
Graph500	I	595
Graph500	IM	540
Graph500	TF	580
Graph500	TFM	594
Graph500	TFA	565
Graph500	TFAM	554
Graph500	TI	147
Graph500	TIM	145
Graph500	OF	999
Graph500	OFMP	716
Graph500	OFMF	712
Graph500	TOF	592
Graph500	TOFMP	590
Graph500	TOFMF	588
