RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication
34544879	34369918	34305117	33976566	33653037
35940092	35505198	36459079	35442228	35154463
36215901	36190631	34839187	35578768	35704964
36458189	36083640	36084734	35912135	35554215
36593068	36394896	36463067	35719286	35494410
36471352	36256843	36061740	34759866	35182155
36224402	36180562	36407258	35903355	35206618
36362856	36395995	36592974	35450659	35524016
36292937	36298154	36106336	35305947	34619685
35978858	36357078	36315620	34943470	34793476
36327111	36151486	35063211	35878378	34903831
35218981	36167450	36433469	35456177	34717340
36443759	36427258	36556294	35208056	35410601
36116885	36243072	36250442	35501303	34729240
36251415	36249194	35484724	35638198	34239246
36196487	36232947	36099467	35476730	34044998
36066891	36208912	35979972	35787163	34896888
36258946	36331255	35961275	35718533	35069950
36150911	36263614	36155407	35314487	34590944
36274848	36189833	35480570	35529418	35391865
35717296	36193736	36095909	35891834	35467709
36101004	36421142	36739825	35582212	35454467
36424100	36212229	36139009	35540631	35074464
36262155	36383521	36544992	34256148	35185894
35877502	36201126	36606745	35628218	35350478
36294492	36230991	36560558	34978084	35463193
36090633	36179410	36694769	35451953	35347042
36075660	36422587	36647702	35329659	35612370
36050196	36197575	36586360	34611812	35279018
35866809	36193683	36762097	35027729	35314188
35534973	36411553	36534124	35074304	34873960
35061158	36215613	36584727	34989711	34911276
35756414	36120642	36023041	35468602	35447819
35681649	36414802	36505183	35675984	34885408
35548869	35849271	36767084	35746598	35907506
36461924	36048675	36548719	35440507	35183863
36390366	36219312	34713266	34428978	35348154
36338410	35738498	36498068	35646887	35490732
35964418	36211023	35057877	35170276	35645642
36318799	35758831	36725469	35520798	35028502
35978781	35653191	36498814	35731130	35481891
36292239	35674674	36445114	35544004	35171241
36275927	36024936	36747345	35463646	34898435
36026026	36267297	36677986	34576508	35222578
36051106	36403706	36101252	35587619	35861239
36078094	36335202	36117472	35359078	35344543
35615808	35471546	36037152	34607201	35298033
36133472	35962879	36379061	35576262	35415267
36189374	36268112	36891139	35448812	35357415
36151081	36238961	35251285	35425868	35362367
14717597	15678057	14950089	15758769	23783118
11972282	11929687	12041453	12015935	18177465
12072589	12077911	11963126	12117776	17924198
12101116	12070808	12038637	12101505	18157309
12080438	12077542	11930688	12205027	17941432
12089237	12089575	11963308	12104343	18059453
12145969	12066929	11956736	12188945	18091865
12003202	12032244	11836399	12188650	18041240
12066351	11952785	12038790	12144006	18051756
12100087	12010057	11964075	12176788	17970113
12050880	11856631	11685130	12199583	17960976
12081080	11914929	11839692	12204617	17964348
12142892	11996519	11887171	11849826	18090480
12106414	11967434	11755242	11823844	17938094
12066525	12112653	11802270	11818482	17735697
12125549	12063580	11451562	11698545	17359230
12078007	12009170	11575877	11772076	17842836
12109412	12128961	11676447	11793815	17839367
11945842	12103741	11592990	9094763	17534188
11891665	11977369	10814898	7842167	17565801
11917935	11881909	9394604	8334623	17833589
11820701	11869674	9394572	7138198	17828954
11895082	11787202	8777666	9521133	17862734
11930521	11834997	8692260	19695425	17948752
9969270	11433246	6109705	19743024	17787947
8939030	9196339	12477258	20035848	17900240
8892868	9071194	15644364	20368320	17886975
9088206	9441428	17966507	20798283	17850311
7992473	8821090	18211131	21403385	17933108
6645234	9643739	15059442	21780703	17849085
8444737	10000183	14990591	25233905	18043753
15206403	6533332	14880079	30236884	15308070
14441550	10116042	14867043	30205986	15072126
12024380	16329001	15543706	30162427	16464968
14371611	19160097	15075032	30305463	15046637
12912412	22995150	17579821	30399340	13848397
17023930	23124237	19307919	30179805	15004084
16465214	23165779	17131583	29721047	14059846
17087415	23226634	19392890	30244822	14416843
17138856	22610852	16140929	30255739	10045385
16781046	23221953	16689394	29790480	13362942
16818147	22817588	20719187	30119982	20659253
17112396	23216771	20392149	30055563	21740623
17227668	23066470	20797998	30285473	21677016
17095007	22728760	20527726	30147787	27503514
17063300	22449223	20980432	30430228	22078700
17060083	22881258	20407417	30310975	21846959
17079818	23096805	19993262	30313584	22074792
17031269	23108104	21103488	30258293	22431568
