RI	RI+e	Ideal-Replication
28826310	24030484	24458644
33367991	33301840	33072239
34079631	33006666	33251645
34303728	33356983	32911116
33863442	33246106	33246371
34619985	33865128	34027934
33905626	34172285	32884838
33191043	33176618	33865954
33199296	33194557	33079098
34631159	33568401	34494082
33360945	33136304	33406683
34676552	33908029	34174271
33528783	33679695	32903796
34448654	33529739	33960343
33820632	33249035	33045561
34315959	33958486	34215254
33991695	34170732	33194745
33433008	34954951	34491024
34760253	34576568	33708202
33749111	34948074	33261466
34365335	34909046	33861963
33997196	34354615	33194095
34513487	34886783	33306987
33465421	33882420	32802426
34736249	34654045	32809776
33952514	34646973	32117266
34077971	33856231	32340240
34180146	33086453	33895122
34275204	34052951	33726710
33852311	34535943	33851876
34163389	33529626	32998726
34258565	34447242	33582019
32602696	34457034	33622520
33677279	33999959	33653207
33441438	33601529	33465410
33379731	34589760	33210476
33870703	33862697	33663629
34899787	34135261	33906546
33756242	32737103	32793476
35214069	34080108	33114523
34219890	33560639	32692740
34430673	34267006	32893795
35113654	33831662	34858460
33884119	34582762	33724048
34640036	34147920	34267781
33715794	33742460	34760543
34880638	34570448	34904537
33485199	33421097	34759165
34144061	34384147	34489466
33794915	33962084	33289790
28541484	28466274	24254713
12732318	12542000	14829442
12270781	12188222	14338418
12210868	11929982	14731317
10913680	12023663	14652806
12153220	11862835	14585968
12076683	11894270	14748296
12108500	11720259	14703017
12208025	11780604	14802225
12127719	11712720	14348602
12057020	11677799	14636475
12143504	11439847	14710347
12015958	11349595	14774835
12090440	10987875	14534216
12206606	11204601	13952948
12012593	11345290	13874802
12010616	11366555	13688879
11808816	11371089	13260520
11678529	10907461	13823503
11612528	10856711	13701676
11431073	11091074	13798106
11665302	11229056	13708490
11561402	11188189	13494529
11592978	11091672	13654188
11419960	10173138	13537744
11492616	9941797	13339515
11560199	10124915	13620751
11481979	10190867	14027342
11472334	8807359	13976574
11423772	9821044	14080501
11935029	10160779	14001123
12716996	9460434	13501134
13764704	9983690	12312802
14035241	11684597	12189645
14364272	18338287	12194017
14118433	19399910	12212802
14117049	21854278	12340997
14122751	22362844	12581074
14000899	20785293	12861385
13953234	20195439	13191837
13181593	19765771	13257152
13574407	20462853	13292436
13371679	19708740	13626369
13345605	21384075	13690708
13370458	20155483	13994093
13534832	21443802	13230164
13586240	22473137	13947946
13937845	22988061	14611357
13501012	22384033	14243526
