Workload	Configuration	Time
GUPS	LL	260
GUPS	LL	263
GUPS	RL	351
GUPS	RL	350
GUPS	RLI	540
GUPS	RLI	538
GUPS	LR	353
GUPS	LR	349
GUPS	LRI	547
GUPS	LRI	545
GUPS	RR	440
GUPS	RR	432
GUPS	RRI	791
GUPS	RRI	791
GUPS	RRIE	538
GUPS	RRIG	547
GUPS	RRIM	262
GUPS	TLL	80
GUPS	TRRI	85
GUPS	TRRIE	80
GUPS	TRRIG	81
GUPS	TRRIM	83
BTree	LL	419
BTree	RRI	1064
BTree	RRIE	752
BTree	RRIG	736
BTree	RRIM	440
Redis	LL	388
Redis	LL	395
Redis	RL	475
Redis	RLI	612
Redis	LR	470
Redis	LRI	614
Redis	RR	563
Redis	RRI	832
Redis	RRI	843
Redis	RRIE	621
Redis	RRIG	608
Redis	RRIG	608
Redis	RRIG	605
Redis	RRIM	463
Redis	RRIM	390
Redis	RRIM	383
Redis	RRIM	398
Redis	TLL	282
Redis	TRRI	450
Redis	TRRIE	468
Redis	TRRIG	298
Redis	TRRIM	298
XSBench	LL	193
XSBench	LL	193
XSBench	LL	195
XSBench	RL	218
XSBench	RLI	266
XSBench	LR	219
XSBench	LRI	274
XSBench	RR	243
XSBench	RRI	345
XSBench	RRIE	274
XSBench	RRIG	271
XSBench	RRIM	201
XSBench	TLL	117
XSBench	TRRI	121
XSBench	TRRIE	121
XSBench	TRRIG	119
XSBench	TRRIM	120
XSBench	TRRIM	119
XSBench	TRRIM	119
XSBench	OF	686
XSBench	OFMP	577
XSBench	OFMF	580
Canneal	LL	243
Canneal	RR	342
Canneal	RRI	511
Canneal	RRIE	385
Canneal	RRIG	386
Canneal	RRIM	252
Canneal	TLL	146
Canneal	TRRI	184
Canneal	TRRIE	186
Canneal	TRRIG	140
Memcached	LL	366
Memcached	LL	371
Memcached	RL	458
Memcached	RLI	617
Memcached	LR	463
Memcached	LRI	620
Memcached	RR	568
Memcached	RRI	886
Memcached	RRI	905
Memcached	RRIE	625
Memcached	RRIG	609
Memcached	RRIG	608
Memcached	RRIG	606
Memcached	RRIM	373
Memcached	RRIM	374
Memcached	RRIM	380
Graph500	OF	997
Graph500	OFMP	714
Graph500	OFMF	716
